date,twse,tpex,emerging,total,note
2025-01-01,0,0,0,0,twse:休市;tpex:休市
2025-01-02,1264,929,0,2193,ok
2025-01-03,1263,924,0,2187,ok
2025-01-04,0,0,0,0,twse:休市;tpex:休市
2025-01-06,1265,926,0,2191,ok
2025-01-07,1264,927,0,2191,ok
2025-01-08,1258,930,0,2188,ok
2025-01-09,1262,932,0,2194,ok
2025-01-10,1264,927,0,2191,ok
2025-01-11,0,0,0,0,twse:休市;tpex:休市
2025-01-13,1265,933,0,2198,ok
2025-01-14,1260,928,0,2188,ok
2025-01-15,1265,925,0,2190,ok
2025-01-16,1267,931,0,2198,ok
2025-01-17,1263,926,0,2189,ok
2025-01-18,0,0,0,0,twse:休市;tpex:休市
2025-01-20,1266,926,0,2192,ok
2025-01-21,1261,927,0,2188,ok
2025-01-22,1262,934,0,2196,ok
2025-01-23,0,0,0,0,twse:休市;tpex:休市
2025-01-24,0,0,0,0,twse:休市;tpex:休市
2025-01-25,0,0,0,0,twse:休市;tpex:休市
2025-01-27,0,0,0,0,twse:休市;tpex:休市
2025-01-28,0,0,0,0,twse:休市;tpex:休市
2025-01-29,0,0,0,0,twse:休市;tpex:休市
2025-01-30,0,0,0,0,twse:休市;tpex:休市
2025-01-31,0,0,0,0,twse:休市;tpex:休市
2025-02-01,0,0,0,0,twse:休市;tpex:休市
2025-02-03,1268,926,0,2194,ok
2025-02-04,1261,927,0,2188,ok
2025-02-05,1266,933,0,2199,ok
2025-02-06,1258,932,0,2190,ok
2025-02-07,1259,939,0,2198,ok
2025-02-08,0,0,0,0,twse:休市;tpex:休市
2025-02-10,1260,937,0,2197,ok
2025-02-11,1264,930,0,2194,ok
2025-02-12,1263,927,0,2190,ok
2025-02-13,1267,937,0,2204,ok
2025-02-14,1267,938,0,2205,ok
2025-02-15,0,0,0,0,twse:休市;tpex:休市
2025-02-17,1264,938,0,2202,ok
2025-02-18,1260,937,0,2197,ok
2025-02-19,1267,938,0,2205,ok
2025-02-20,1265,937,0,2202,ok
2025-02-21,1270,941,0,2211,ok
2025-02-22,0,0,0,0,twse:休市;tpex:休市
2025-02-24,1267,934,0,2201,ok
2025-02-25,1265,931,0,2196,ok
2025-02-26,1265,936,0,2201,ok
2025-02-27,1266,939,0,2205,ok
2025-02-28,0,0,0,0,twse:休市;tpex:休市
2025-03-01,0,0,0,0,twse:休市;tpex:休市
2025-03-03,1265,934,0,2199,ok
2025-03-04,1268,936,0,2204,ok
