Date,SecuritiesCompanyCode,CompanyName,CompanyAbbreviation,Registration,SecuritiesIndustryCode,Address,UnifiedBusinessNo.,Chairman,GeneralManager,Spokesman,TitleOfSpokesman,DeputySpokesperson,Telephone,DateOfIncorporation,DateOfListing,ParValueOfCommonStock,Paidin.Capital.NTDollars,PrivateStock.shares,PreferredStock.shares,PreparationOfFinancialReportType,StockTransferAgent,StockTransferAgentTelephone,StockTransferAgentAddress,AccountingFirm,CPA.CharteredPublicAccountant.First,CPA.CharteredPublicAccountant.Second,Symbol,Fax,EmailAddress,WebAddress,IssueShares
1150908,1260,富味鄉食品股份有限公司,富味鄉,－ ,02,"11F., No. 102, Sec. 4, Civic Blvd., Da'an Dist.,Taipei City 106, Taiwan",12467902,陳昶宏,陳昶宏,陳淑紋,副總經理,李芳怡,(02)2750-5667,19831108,20121126,新台幣                 10.0000元,1020981820,0,0,1,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段６號６樓,資誠聯合會計師事務所,黃金連,賴宗羲,FLAVOR,(02)2750-6777,flavor@flavor.com.tw,www.flavor.com.tw,102098182
1150908,1269,乾杯股份有限公司,乾杯,－ ,16,"11F., No.88, Sec. 2, Zhongxiao E. Rd., Zhongzheng Dist.,Taipei City 100, Taiwan (R.O.C.)",70443909,平出莊司,平出莊司,廖佳怡,董事長室經理,董浩成,(02)3322-2627,19991013,20160829,新台幣                 10.0000元,208824820,0,0,1,凱基證券股份有限公司,02-2389-2999,台北市中正區重慶南路1段2號5樓,勤業眾信聯合會計師事務所,林淑如,虞成全,KANPAI,(02)3322-2696,ir@kanpai.com.tw,www.kanpai.com.tw,20882482
1150908,1271,晨暉生物科技股份有限公司,晨暉生技,－ ,22,"1 F., No. 356, Gongjian Rd., Xizhi Dist.New Taipei City, Taiwan (R.O.C.)",28708250,盛保熙,執行長：陳培志,潘佳岳,總經理,柯伯翰,(02)2792-9568,20070910,20210118,新台幣                 10.0000元,770890660,16700000,0,1,台新綜合證券(股)公司股務代理部,(02)2504-8125,台北市中山區建國北路一段96號B1,安永聯合會計師事務所,姚世傑,張巧穎,SunWay,(02)2792-9566,ir@sunway.cc,www.sunway.cc,77089066
1150908,1293,利統股份有限公司,利統,－ ,02,"13F-1, No. 31-1, Ln. 169, Kangning St., Xizhi Dist.,New Taipei City, Taiwan, R.O.C.",89955491,張天鴻,林燕,林燕(代理),總經理,林燕,(02)2694-0885,19941228,20211029,新台幣                 10.0000元,170941120,0,0,1,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,蔡蓓華,廖福銘,Lytone,(02)2694-0121,ir@lytone.com,http://www.lytone.com,17094112
1150908,1343,旭東環保科技股份有限公司,旭東環保,－ ,35,"No.2, Huandong St.Pingtung City, Pingtung County , Taiwan",89323361,董基旭,董基旭,董妍伶,董事長特助,楊蕙華,(08)7530968,19950210,20210325,新台幣                 10.0000元,405138740,0,0,2,華南永昌綜合證券股份有限公司,(02)2718-6425,台北市松山區民生東路四段54號4樓,勤業眾信聯合會計師事務所,陳秀雯,張慈媛,SUN RISE,(08)7535986,sunrise@srise.com.tw,https://www.srise.com.tw/,40513874
1150908,1480,東盟開發實業股份有限公司,東盟開發,－ ,10,"Tower C, 24FL,No.90,Sec.1, Hsin-Tai 5th Rd.,Hsichih Dist.,　　New Taipei City,Taiwan,R.O.C.　　",88121697,劉子敬,劉子敬,馬畹芬,資材部經理,彭俊鑫,02-26961255,19681017,20231027,新台幣                 10.0000元,4160852170,0,0,2,統一綜合證券股份有限公司,02-27463797,台北市松山區東興路8號B1樓,勤業眾信聯合會計師事務所,廖鴻儒,楊朝欽,TM　　,02-26961352,無,www.tungmung.com.tw,416085217
1150908,1594,日高工程實業股份有限公司,日高,－ ,05,"11F.,No.136,Zhongzheng 4th Rd.,Qianjin Dist.,Kaohsiung,80147Taiwan,Republic of china",04938839,陳鴻文,周賢昌,周賢昌,總經理,林盈秀,07-2858631,19740402,20101013,新台幣                 10.0000元,332200000,0,0,1,國票綜合證券(股)公司股務代理部,02-25288988,台北市松山區南京東路五段188號15樓,勤業眾信聯合會計師事務所,陳秀雯,劉裕祥,JUKAO,07-2874674,jk_sales@jukao.com.tw,http://www.jukao.com.tw/,33220000
1150908,2071,震南鐵線股份有限公司,震南鐵,－ ,10,"NO.202,LANE 275,SHUN AN ROAD,LU ZHU DIST.KAOHSIUNG CITY TAIWAN,R.O.C",86540792,黃錦榮,余金珠,蔡婉玲,財會經理,余金珠,(07)697-5852,19920120,20190923,新台幣                 10.0000元,690460000,0,0,1,台新綜合證券(股)公司股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,徐惠榆,葉芳婷,Chen Nan Steel,(07)607-2855,chennanir@chen-nan.com.tw,https://www.chen-nan.com.tw,69046000
1150908,2245,詠勝昌股份有限公司,詠勝昌*,－ ,05,"No. 209, Sec. 3, Jhongjheng Rd., Rende Dist., Tainan City 717, Taiwan (R.O.C.)Tainan City 717, Taiwan (R.O.C.)",16696080,吳書杰,吳明星,吳明星,總經理,林姿君,(06)2702277,19981113,20161215,新台幣                  5.0000元,178200000,0,0,1,第一金證券(股)公司股務代理部,(02)25635711,台北市大安區安和路一段27號6樓,勤業眾信聯合會計師事務所,張青霞,王浚宇,NWW,(06)2709912,ir@nwwmfg.com.tw,www.nwwmfg.com.tw,35640000
1150908,2249,湧盛電機股份有限公司,湧盛,－ ,05,"3F., No.6, Central 4th Rd., Cianjhen Dist.Kaohsiung City,Taiwan(R.O.C.)",70849653,林麗玉,萬芸榮,方宗琦,管理部協理,江春枝,07-8228183,20080825,20191219,新台幣                 10.0000元,281596900,0,0,1,凱基證券股份有限公司股務代理部,02-23892999,10044 台北市重慶南路1段2號5樓,安侯建業聯合會計師事務所,陳永祥,高鈺倫,YOUNG SHINE,07-8228178,invest@young-shine.com.tw,https://www.young-shine.com.tw/,28159690
