key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2016-03-09_0050,2016-03-09,0050,元大台灣50,twse,63.05,63.15,62.65,63.10,8097374,509283704,0.05,,,2074,
2016-03-09_0051,2016-03-09,0051,元大中型100,twse,24.70,25.40,24.70,25.40,60400,1522199,0.1,,,25,
2016-03-09_0052,2016-03-09,0052,富邦科技,twse,39.57,39.77,39.57,39.77,15000,594170,0.21,,,7,
2016-03-09_0053,2016-03-09,0053,元大電子,twse,26.94,26.98,26.94,26.95,5000,134780,-0.05,,,5,
2016-03-09_0054,2016-03-09,0054,元大台商50,twse,20.84,20.84,20.84,20.84,1000,20840,0.24,up,,1,
2016-03-09_0055,2016-03-09,0055,元大MSCI金融,twse,12.78,12.78,12.69,12.74,310000,3944720,-0.04,,,72,
2016-03-09_0056,2016-03-09,0056,元大高股息,twse,22.59,22.63,22.49,22.59,1605094,36202070,0.0,,,569,
2016-03-09_0057,2016-03-09,0057,富邦摩台,twse,38.67,38.76,38.67,38.76,10000,386990,-0.09,,,4,
2016-03-09_0058,2016-03-09,0058,富邦發達,twse,36.35,36.35,36.35,36.35,9000,327150,-0.36,down,,2,
2016-03-09_0059,2016-03-09,0059,富邦金融,twse,29.70,29.74,29.65,29.74,11000,326580,-0.37,,,7,
2016-03-09_0061,2016-03-09,0061,元大寶滬深,twse,15.60,15.64,15.40,15.50,6103993,94511089,-0.1,,,1271,
2016-03-09_006201,2016-03-09,006201,寶富櫃,tpex,11.22,11.44,11.22,11.41,46000,523680,0.03,,28946000,16,
2016-03-09_006203,2016-03-09,006203,元大MSCI台灣,twse,29.65,29.65,29.65,29.65,1000,29650,0.16,up,,1,
2016-03-09_006204,2016-03-09,006204,永豐臺灣加權,twse,42.34,42.34,42.34,42.34,1000,42340,-0.21,down,,1,
2016-03-09_006205,2016-03-09,006205,富邦上証,twse,26.90,27.00,26.60,26.87,7267000,194637960,0.09,,,1101,
2016-03-09_006206,2016-03-09,006206,元大上證50,twse,25.53,25.57,25.30,25.45,1175500,29920949,0.11,,,270,
2016-03-09_006207,2016-03-09,006207,復華滬深,twse,19.95,20.00,19.80,19.90,1122500,22323305,-0.02,,,219,
2016-03-09_00631L,2016-03-09,00631L,元大台灣50正2,twse,19.38,19.51,19.25,19.48,5273000,102189850,0.0,,,1199,
2016-03-09_00632R,2016-03-09,00632R,元大台灣50反1,twse,18.95,19.01,18.86,18.90,60100750,1137902842,-0.02,,,8012,
2016-03-09_00633L,2016-03-09,00633L,富邦上証正2,twse,27.79,27.87,27.27,27.60,90625670,2498575178,0.23,,,12140,
2016-03-09_00634R,2016-03-09,00634R,富邦上証反1,twse,11.03,11.14,11.01,11.05,10517000,116552520,-0.03,,,778,
2016-03-09_00635U,2016-03-09,00635U,期元大S&P黃金,twse,21.00,21.00,20.79,20.85,1066250,22249090,-0.17,,,307,
2016-03-09_00636,2016-03-09,00636,國泰中國A50,twse,15.85,15.85,15.66,15.75,901000,14168880,0.03,,,176,
2016-03-09_00637L,2016-03-09,00637L,元大滬深300正2,twse,10.30,10.35,10.13,10.25,111625300,1143411677,0.08,,,9654,
2016-03-09_00638R,2016-03-09,00638R,元大滬深300反1,twse,20.52,20.72,20.46,20.58,1712000,35317740,0.03,,,169,
2016-03-09_00639,2016-03-09,00639,富邦深100,twse,9.75,9.75,9.61,9.67,3571000,34529000,-0.05,,,378,
2016-03-09_00640L,2016-03-09,00640L,富邦日本正2,twse,14.26,14.46,14.13,14.39,11426016,162818537,-0.36,,,1755,
2016-03-09_00641R,2016-03-09,00641R,富邦日本反1,twse,21.50,21.55,21.30,21.36,3123000,67085180,0.25,,,426,
2016-03-09_00642U,2016-03-09,00642U,期元大S&P石油,twse,16.08,16.18,16.00,16.17,31887440,512210178,-0.18,,,6283,
2016-03-09_00643,2016-03-09,00643,群益深証中小,twse,14.92,14.95,14.74,14.93,1133000,16820920,0.08,,,211,
2016-03-09_00645,2016-03-09,00645,富邦日本,twse,16.90,17.00,16.85,16.96,1513000,25552670,-0.2,,,82,
2016-03-09_00646,2016-03-09,00646,元大S&P500,twse,19.30,19.37,19.28,19.34,384050,7417065,-0.01,,,61,
2016-03-09_00647L,2016-03-09,00647L,元大S&P500正2,twse,18.36,18.74,18.36,18.73,1266000,23623720,-0.03,,,56,
2016-03-09_00648R,2016-03-09,00648R,元大S&P500反1,twse,20.56,20.56,20.50,20.51,1776000,36472970,0.09,,,290,
2016-03-09_00649,2016-03-09,00649,FH香港,twse,15.02,15.10,14.98,15.08,1279000,19237300,0.04,,,60,
2016-03-09_00650L,2016-03-09,00650L,復華香港正2,twse,16.01,16.01,15.62,15.93,636000,10065850,-0.09,,,84,
2016-03-09_00651R,2016-03-09,00651R,復華香港反1,twse,14.43,14.43,14.27,14.28,274000,3924020,0.03,,,67,
2016-03-09_008201,2016-03-09,008201,BP上證50,twse,77.20,77.20,75.50,76.40,4900,372125,-0.1,,,31,
2016-03-09_01001T,2016-03-09,01001T,土銀富邦R1,twse,16.26,16.30,16.26,16.30,6000,97720,0.02,,,3,
2016-03-09_01002T,2016-03-09,01002T,土銀國泰R1,twse,17.00,17.02,17.00,17.02,48000,816500,0.01,,,8,
