date,stock_id,high,low,avg_price,volume,amount,transactions,price_basis
2015-01-05,6434,,,,0,0,0,無成交
2015-01-06,6434,15.00,15.00,15.00,2000,30000,1,均價
2015-01-07,6434,15.00,15.00,15.00,5000,75000,1,均價
2015-01-08,6434,,,,0,0,0,無成交
2015-01-09,6434,15.00,14.90,14.95,17000,254100,4,均價
2015-01-12,6434,14.74,14.74,14.74,1000,14740,1,均價
2015-01-13,6434,,,,0,0,0,無成交
2015-01-14,6434,,,,0,0,0,無成交
2015-01-15,6434,14.75,14.70,14.73,10000,147250,3,均價
2015-01-16,6434,,,,0,0,0,無成交
2015-01-19,6434,,,,0,0,0,無成交
2015-01-20,6434,,,,0,0,0,無成交
2015-01-21,6434,,,,0,0,0,無成交
2015-01-22,6434,,,,0,0,0,無成交
2015-01-23,6434,,,,0,0,0,無成交
2015-01-26,6434,14.51,14.51,14.51,2000,29020,1,均價
2015-01-27,6434,14.65,14.55,14.61,13000,189950,3,均價
2015-01-28,6434,14.56,14.50,14.52,16000,232360,4,均價
2015-01-29,6434,14.60,14.60,14.60,1000,14600,1,均價
2015-01-30,6434,15.15,14.60,14.98,73000,1093600,26,均價
2015-02-02,6434,15.14,15.00,15.03,7000,105220,3,均價
2015-02-03,6434,,,,0,0,0,無成交
2015-02-04,6434,,,,0,0,0,無成交
2015-02-05,6434,15.00,14.80,14.90,4000,59600,2,均價
2015-02-06,6434,15.00,14.90,14.96,12000,179550,3,均價
2015-02-09,6434,14.80,14.80,14.80,6000,88800,2,均價
2015-02-10,6434,14.94,14.94,14.94,2000,29880,2,均價
2015-02-11,6434,,,,0,0,0,無成交
2015-02-12,6434,,,,0,0,0,無成交
2015-02-13,6434,14.60,14.51,14.55,11000,160060,4,均價
2015-02-24,6434,14.50,14.50,14.50,3000,43500,1,均價
2015-02-25,6434,,,,0,0,0,無成交
2015-02-26,6434,,,,0,0,0,無成交
2015-03-02,6434,14.50,14.50,14.50,5000,72500,1,均價
2015-03-03,6434,14.45,14.45,14.45,1000,14450,1,均價
2015-03-04,6434,14.50,14.45,14.49,17000,246250,3,均價
2015-03-05,6434,,,,0,0,0,無成交
2015-03-06,6434,,,,0,0,0,無成交
2015-03-09,6434,15.78,15.00,15.24,110000,1676210,32,均價
2015-03-10,6434,15.00,15.00,15.00,12000,180000,3,均價
2015-03-11,6434,,,,0,0,0,無成交
2015-03-12,6434,14.95,14.95,14.95,5000,74750,1,均價
2015-03-13,6434,14.95,14.90,14.92,25000,373000,4,均價
2015-03-16,6434,,,,0,0,0,無成交
2015-03-17,6434,15.00,14.90,14.95,20000,299000,4,均價
2015-03-18,6434,14.90,14.85,14.88,20000,297500,3,均價
2015-03-19,6434,14.80,14.80,14.80,5000,74000,1,均價
2015-03-20,6434,14.55,14.55,14.55,5000,72750,1,均價
2015-03-23,6434,14.51,14.41,14.48,15000,217150,3,均價
2015-03-24,6434,14.40,14.40,14.40,10000,144000,2,均價
2015-03-25,6434,14.35,13.75,14.06,37000,520350,10,均價
2015-03-26,6434,,,,0,0,0,無成交
2015-03-27,6434,,,,0,0,0,無成交
2015-03-30,6434,,,,0,0,0,無成交
2015-03-31,6434,14.00,13.75,13.89,9000,125000,2,均價
2015-04-01,6434,13.99,13.99,13.99,5000,69950,1,均價
2015-04-02,6434,13.70,13.70,13.70,6000,82200,2,均價
2015-04-07,6434,13.99,13.99,13.99,3,41,3,均價
2015-04-08,6434,,,,0,0,0,無成交
2015-04-09,6434,,,,0,0,0,無成交
2015-04-10,6434,14.00,14.00,14.00,10,140,5,均價
2015-04-13,6434,,,,0,0,0,無成交
2015-04-14,6434,13.98,13.98,13.98,2,27,1,均價
2015-04-15,6434,,,,0,0,0,無成交
2015-04-16,6434,13.89,13.89,13.89,5000,69450,1,均價
2015-04-17,6434,,,,0,0,0,無成交
2015-04-20,6434,,,,0,0,0,無成交
2015-04-21,6434,,,,0,0,0,無成交
2015-04-22,6434,,,,0,0,0,無成交
2015-04-23,6434,,,,0,0,0,無成交
2015-04-24,6434,,,,0,0,0,無成交
2015-04-27,6434,,,,0,0,0,無成交
2015-04-28,6434,,,,0,0,0,無成交
2015-04-29,6434,,,,0,0,0,無成交
2015-04-30,6434,13.70,13.21,13.45,6012,80888,3,均價
2015-05-04,6434,,,,0,0,0,無成交
2015-05-05,6434,13.23,13.23,13.23,5000,66150,2,均價
2015-05-06,6434,13.20,13.16,13.18,10000,131800,2,均價
2015-05-07,6434,12.95,12.95,12.95,5000,64750,1,均價
2015-05-08,6434,13.05,13.05,13.05,1000,13050,1,均價
2015-05-11,6434,12.83,12.83,12.83,5000,64150,1,均價
2015-05-12,6434,,,,0,0,0,無成交
2015-05-13,6434,,,,0,0,0,無成交
2015-05-14,6434,,,,0,0,0,無成交
2015-05-15,6434,,,,0,0,0,無成交
2015-05-18,6434,12.56,12.55,12.56,10000,125550,2,均價
2015-05-19,6434,12.35,12.35,12.35,3000,37050,1,均價
2015-05-20,6434,12.25,12.25,12.25,1000,12250,1,均價
2015-05-21,6434,,,,0,0,0,無成交
2015-05-22,6434,12.52,12.19,12.28,7000,85990,2,均價
2015-05-25,6434,,,,0,0,0,無成交
2015-05-26,6434,12.54,12.47,12.51,36000,450440,16,均價
2015-05-27,6434,12.54,12.40,12.48,20000,249560,8,均價
2015-05-28,6434,12.45,12.45,12.45,5000,62250,1,均價
2015-05-29,6434,,,,0,0,0,無成交
2015-06-01,6434,,,,0,0,0,無成交
2015-06-02,6434,,,,0,0,0,無成交
2015-06-03,6434,12.30,12.30,12.30,5000,61500,1,均價
2015-06-04,6434,12.24,12.20,12.22,10000,122200,2,均價
