date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down
2019-07-04,1451,28.50,26.50,2.000000,息,26.50,29.15,23.85
2019-07-04,1521,64.50,60.70,3.800000,息,60.70,66.70,54.70
2019-07-04,1529,16.90,14.91,1.981845,權息,16.70,18.35,13.45
2019-07-04,1536,108.50,105.00,3.500000,息,105.00,115.50,94.50
2019-07-04,1558,148.00,137.00,11.000000,息,137.00,150.50,123.50
2019-07-04,1568,20.00,19.35,0.650000,息,19.35,21.25,17.45
2019-07-04,1710,25.70,23.95,1.750000,息,23.95,26.30,21.60
2019-07-04,1712,21.25,19.95,1.300000,息,19.95,21.90,18.00
2019-07-04,1727,13.40,12.80,0.600000,息,12.80,14.05,11.55
2019-07-04,2316,24.15,23.15,1.000000,息,23.15,25.45,20.85
2019-07-04,2353,19.30,18.53,0.770000,息,18.55,20.35,16.70
2019-07-04,2408,65.20,58.08,7.110499,息,58.10,63.80,52.30
2019-07-04,2436,26.55,25.54,1.000168,息,25.55,28.05,23.00
2019-07-04,2456,93.70,85.71,7.985546,息,85.70,94.20,77.20
2019-07-04,2481,25.20,24.70,0.500000,息,24.70,27.15,22.25
2019-07-04,2520,27.55,26.55,1.000000,息,26.55,29.20,23.90
2019-07-04,2538,12.35,11.75,0.600000,息,11.75,12.90,10.60
2019-07-04,2546,38.90,35.90,3.000000,息,35.90,39.45,32.35
2019-07-04,2630,21.70,20.70,1.000000,息,20.70,22.75,18.65
2019-07-04,2748,62.00,59.25,2.750000,息,59.30,65.10,53.40
2019-07-04,2832,20.65,19.75,0.900000,息,19.75,21.70,17.80
2019-07-04,2881,46.10,44.10,2.000000,息,44.10,48.50,39.70
2019-07-04,2883,9.50,9.20,0.300000,息,9.20,10.10,8.28
2019-07-04,3005,45.85,42.85,2.998317,息,42.85,47.10,38.60
2019-07-04,3019,87.00,84.70,2.300000,息,84.70,93.10,76.30
2019-07-04,3038,18.35,17.85,0.500000,息,17.85,19.60,16.10
2019-07-04,3040,32.05,30.05,2.000000,息,30.05,33.05,27.05
2019-07-04,3296,16.45,15.45,1.000000,息,15.45,16.95,13.95
2019-07-04,3338,63.20,62.00,1.200000,息,62.00,68.20,55.80
2019-07-04,3530,82.20,80.20,1.998769,息,80.20,88.20,72.20
2019-07-04,3607,19.85,19.35,0.500000,息,19.35,21.25,17.45
2019-07-04,4148,52.00,49.60,2.400000,息,49.60,54.50,44.65
2019-07-04,4545,22.30,21.95,0.350000,息,21.95,24.10,19.80
2019-07-04,4916,36.15,33.67,2.472703,息,33.65,37.00,30.35
2019-07-04,5388,67.60,65.10,2.496941,息,65.10,71.60,58.60
2019-07-04,6224,59.50,55.75,3.750000,息,55.80,61.30,50.20
2019-07-04,6655,51.00,49.00,2.000000,息,49.00,53.90,44.10
