date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down,ex_div_ref
2022-07-29,1519,37.75,36.75,1.000000,息,36.75,40.40,33.10,36.75
2022-07-29,2233,116.00,110.60,5.400000,息,110.50,121.50,99.60,110.60
2022-07-29,2357,319.00,277.00,42.000000,息,277.00,304.50,249.50,277.00
2022-07-29,2402,14.90,14.40,0.500000,息,14.40,15.80,13.00,14.40
2022-07-29,3311,33.10,32.63,0.470000,息,32.65,35.85,29.40,32.63
2022-07-29,3432,15.00,14.50,0.500000,息,14.50,15.95,13.05,14.50
2022-07-29,3588,78.80,70.55,8.243190,權息,70.60,77.60,63.50,70.55
2022-07-29,5706,69.00,61.81,7.181818,權息,61.80,67.90,55.70,61.81
2022-07-29,6239,90.40,83.60,6.800000,息,83.60,91.90,75.30,83.60
2022-07-29,6277,77.30,74.40,2.900000,息,74.40,81.80,67.00,74.40
2022-07-29,6414,218.50,211.50,7.000000,息,211.50,232.50,190.50,211.50
2022-07-29,9908,33.85,32.75,1.100000,息,32.75,36.00,29.50,32.75
