date,stock_id,pre_close,ref_price,value,kind,open_base
2023-06-27,1232,152.00,146.00,6.000000,息,146.00
2023-06-27,1301,92.00,87.80,4.200000,息,87.80
2023-06-27,1437,28.95,28.15,0.800000,息,28.15
2023-06-27,1731,24.45,23.35,1.100000,息,23.35
2023-06-27,1904,34.75,33.65,1.100000,息,33.65
2023-06-27,2012,28.25,27.25,1.000000,息,27.25
2023-06-27,2303,53.30,49.69,3.600463,息,49.70
2023-06-27,3338,48.30,46.30,2.000000,息,46.30
2023-06-27,3669,41.25,39.82,1.430000,息,39.80
2023-06-27,4557,117.00,110.00,7.000000,息,110.00
2023-06-27,4961,150.00,141.50,8.500000,息,141.50
2023-06-27,6164,13.40,12.85,0.550000,息,12.85
2023-06-27,6176,123.00,113.00,10.000000,息,113.00
2023-06-27,6533,488.00,486.50,1.500000,息,486.50
2023-06-27,8213,41.50,39.00,2.500000,息,39.00
