date,stock_id,foreign,trust,dealer,total
2018-02-09,0050,-7120220,0,-236000,-7356220
2018-02-09,0051,0,0,-6000,-6000
2018-02-09,0052,0,0,1000,1000
2018-02-09,0053,0,0,-4000,-4000
2018-02-09,0054,0,0,13000,13000
2018-02-09,0055,0,0,186000,186000
2018-02-09,0056,-717000,0,-1063000,-1780000
2018-02-09,0057,0,0,-6000,-6000
2018-02-09,0059,0,0,7000,7000
2018-02-09,0061,496000,0,1379000,1875000
2018-02-09,006203,0,0,-1000,-1000
2018-02-09,006204,0,0,1000,1000
2018-02-09,006205,180000,0,-433000,-253000
2018-02-09,006206,773000,0,1106000,1879000
2018-02-09,006207,180000,-50000,1569000,1699000
2018-02-09,006208,0,0,-6000,-6000
2018-02-09,00625K,0,0,-2000,-2000
2018-02-09,00631L,-584000,0,-1688000,-2272000
2018-02-09,00632R,9848000,0,104461000,114309000
2018-02-09,00633L,3919000,0,-9008000,-5089000
2018-02-09,00634R,119000,0,-33000,86000
2018-02-09,00635U,119000,0,-7000,112000
2018-02-09,00636,885000,0,-1904000,-1019000
2018-02-09,00636K,0,0,1000,1000
2018-02-09,00637L,14322000,0,-17945000,-3623000
2018-02-09,00638R,32000,0,209000,241000
2018-02-09,00639,2298000,0,737000,3035000
2018-02-09,00640L,-20000,0,-550000,-570000
2018-02-09,00641R,160000,0,937000,1097000
2018-02-09,00642U,442000,0,1416000,1858000
2018-02-09,00643,2257000,0,485000,2742000
2018-02-09,00645,0,0,-36000,-36000
2018-02-09,00646,105000,0,-361000,-256000
2018-02-09,00647L,-57000,0,-22000,-79000
2018-02-09,00648R,-114000,0,2862000,2748000
2018-02-09,00649,82000,0,-1000,81000
2018-02-09,00650L,-24000,0,22000,-2000
2018-02-09,00651R,17000,0,28000,45000
2018-02-09,00652,0,0,-12000,-12000
2018-02-09,00653L,117000,0,-16000,101000
2018-02-09,00654R,0,0,115000,115000
2018-02-09,00655L,340000,0,-9408000,-9068000
2018-02-09,00656R,-107000,0,-43000,-150000
2018-02-09,00657,6000,0,-1000,5000
2018-02-09,00657K,0,0,0,0
2018-02-09,00658L,0,0,-1000,-1000
2018-02-09,00659R,47000,0,372000,419000
2018-02-09,00660,4000,0,-8000,-4000
2018-02-09,00661,0,0,1000,1000
2018-02-09,00662,0,0,0,0
2018-02-09,00663L,-417000,0,112000,-305000
2018-02-09,00664R,456000,0,3953000,4409000
2018-02-09,00665L,125000,0,-430000,-305000
2018-02-09,00666R,70000,0,443000,513000
2018-02-09,00667,0,0,-21000,-21000
2018-02-09,00668,100000,0,-113000,-13000
2018-02-09,00668K,0,0,0,0
2018-02-09,00669R,0,0,1203000,1203000
2018-02-09,00670L,0,0,-298000,-298000
2018-02-09,00671R,298000,0,757000,1055000
2018-02-09,00672L,-897000,0,2666000,1769000
2018-02-09,00673R,1178000,0,4211000,5389000
2018-02-09,00674R,0,0,-41000,-41000
2018-02-09,00675L,131000,0,-553000,-422000
2018-02-09,00676R,-374000,0,5691000,5317000
2018-02-09,00677U,17769348,0,39767000,57536348
2018-02-09,00678,25000,0,-72000,-47000
2018-02-09,00680L,0,0,1000,1000
2018-02-09,00681R,7000,0,9000,16000
2018-02-09,00683L,-56000,0,-145000,-201000
2018-02-09,00685L,226000,0,-420000,-194000
2018-02-09,00686R,0,0,214000,214000
2018-02-09,00688L,-16000,0,35000,19000
2018-02-09,00689R,12000,0,-1000,11000
2018-02-09,00690,0,0,-49000,-49000
2018-02-09,00691R,0,0,54000,54000
2018-02-09,00692,0,0,-456000,-456000
2018-02-09,00693U,-1000,0,485000,484000
2018-02-09,00698L,0,0,1000,1000
2018-02-09,00700,0,0,-59000,-59000
2018-02-09,00701,0,0,-291000,-291000
2018-02-09,00702,0,0,26000,26000
2018-02-09,00703,0,0,296000,296000
2018-02-09,00704L,0,0,-7000,-7000
2018-02-09,00705R,0,0,11000,11000
2018-02-09,00706L,0,0,-5000,-5000
2018-02-09,00707R,0,0,0,0
2018-02-09,00708L,0,0,463000,463000
2018-02-09,00709,0,0,-7000,-7000
2018-02-09,00712,-10000,0,-54000,-64000
2018-02-09,00713,0,0,-58000,-58000
2018-02-09,00714,-2000,0,-11000,-13000
2018-02-09,00715L,0,0,-16000,-16000
2018-02-09,00716R,0,0,-68000,-68000
2018-02-09,00717,0,0,-14000,-14000
2018-02-09,00730,0,0,-26000,-26000
2018-02-09,008201,0,0,33400,33400
2018-02-09,01001T,0,0,1000,1000
2018-02-09,01002T,-5000,0,0,-5000
2018-02-09,01003T,-574000,0,0,-574000
2018-02-09,01004T,0,0,2000,2000
2018-02-09,01007T,-1000,0,0,-1000
2018-02-09,1101,-7100000,73000,350000,-6677000
2018-02-09,1102,-2131000,230000,-1000,-1902000
2018-02-09,1103,-91000,0,0,-91000
2018-02-09,1104,-285000,0,0,-285000
2018-02-09,1108,2000,0,0,2000
2018-02-09,1109,26000,0,-1000,25000
2018-02-09,1110,-1000,0,0,-1000
2018-02-09,1201,414000,0,84000,498000
2018-02-09,1203,-17000,0,0,-17000
2018-02-09,1210,211000,0,1000,212000
2018-02-09,1215,-58000,0,-37000,-95000
2018-02-09,1216,-2717937,318000,83000,-2316937
2018-02-09,1217,-25000,0,0,-25000
