date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2017-08-21,0050,37,34,736,140125,0,6,107,733,0,101,0,
2017-08-21,0051,2,2,6,2625,0,0,0,6,0,0,0,
2017-08-21,0052,0,0,0,1625,0,0,0,0,0,0,0,X
2017-08-21,0053,0,0,1,1997,0,0,0,1,0,0,0,
2017-08-21,0054,0,0,0,3281,0,0,0,0,0,0,0,X
2017-08-21,0055,0,0,59,11788,0,0,0,59,0,0,0,
2017-08-21,0056,1,8,250,81383,2,0,29,257,0,31,0,
2017-08-21,0057,0,0,0,1256,0,0,0,0,0,0,0,X
2017-08-21,0058,0,0,0,1174,0,0,0,0,0,0,0,X
2017-08-21,0059,0,0,5,1368,0,0,0,5,0,0,0,
2017-08-21,0061,28,6,8341,161279,1,0,293,8326,7,294,0,
2017-08-21,006203,0,0,0,1929,0,0,0,0,0,0,0,X
2017-08-21,006204,0,0,0,750,0,0,0,0,0,0,0,X
2017-08-21,006205,63,91,3229,158674,0,0,99,3257,0,99,0,
2017-08-21,006206,2,7,832,80944,0,0,21,837,0,21,0,
2017-08-21,006207,0,0,1009,60473,0,0,23,1009,0,23,0,
2017-08-21,006208,0,0,0,5635,0,0,0,0,0,0,0,X
2017-08-21,00631L,56,150,4242,5271,4,46,1677,4336,0,1635,0,@
2017-08-21,00632R,4478,2966,374495,1187787,84,60,2707,372993,10,2731,0,
2017-08-21,00633L,2884,2263,118576,169989,206,1265,16088,117987,32,15049,20,
2017-08-21,00634R,16,2,5913,18689,2,1,1998,5902,3,1999,0,
2017-08-21,00635U,10,43,1964,15378,2,5,208,1997,0,205,0,
2017-08-21,00636,253,146,3814,86736,0,0,581,3708,1,581,0,
2017-08-21,00637L,9021,9289,258566,419026,1406,166,16948,258839,5,18252,64,
2017-08-21,00638R,0,0,721,1612,0,0,86,721,0,86,0,
2017-08-21,00639,623,222,17100,119975,0,0,152,16699,0,152,0,
2017-08-21,00640L,55,9,778,3479,0,0,239,732,0,239,0,
2017-08-21,00641R,144,75,5259,9189,0,0,157,5190,0,157,0,
2017-08-21,00642U,86,557,8755,77205,126,5,3177,9227,1,3298,0,
2017-08-21,00643,247,101,12312,71910,8,0,538,12166,0,546,0,
2017-08-21,00645,0,0,0,5624,0,0,0,0,0,0,0,X
2017-08-21,00646,0,0,10,31996,0,0,0,10,0,0,0,
2017-08-21,00647L,0,0,3,1229,0,0,0,3,0,0,0,
2017-08-21,00648R,172,82,16540,44422,0,0,349,16451,1,349,0,
2017-08-21,00649,0,0,0,3068,0,0,0,0,0,0,0,X
2017-08-21,00650L,0,1,357,1084,1,5,117,358,0,113,0,
2017-08-21,00651R,16,36,1725,5673,0,0,0,1745,0,0,0,
2017-08-21,00652,0,4,20,2633,0,0,0,24,0,0,0,
2017-08-21,00653L,24,84,3298,4100,0,0,261,3358,0,261,0,@
2017-08-21,00654R,21,5,780,2491,0,0,2,764,0,2,0,
2017-08-21,00655L,1404,528,29553,38364,12,8,708,28677,0,712,0,
2017-08-21,00656R,0,2,57,1839,0,0,0,59,0,0,0,
2017-08-21,00657,0,0,5,2778,0,0,0,5,0,0,0,
2017-08-21,00658L,57,0,201,1336,2,0,3,144,0,5,0,
2017-08-21,00659R,1,3,867,3270,0,0,113,869,0,113,0,
2017-08-21,00660,0,0,12,10257,0,0,0,12,0,0,0,
2017-08-21,00661,0,0,0,1106,0,0,0,0,0,0,0,X
2017-08-21,00662,0,0,0,2757,0,0,0,0,0,0,0,X
2017-08-21,00663L,2,9,133,1827,0,0,35,140,0,35,0,
2017-08-21,00664R,466,95,18328,50143,4,0,114,17960,3,118,0,
2017-08-21,00665L,13,50,2580,6491,10,19,103,2617,0,94,0,
2017-08-21,00666R,12,11,443,2156,0,0,0,442,0,0,0,
2017-08-21,00667,0,6,10,1357,0,0,0,16,0,0,0,
2017-08-21,00668,0,0,75,1639,0,0,0,75,0,0,0,
2017-08-21,00669R,61,315,4311,11904,0,0,111,4565,0,111,0,
2017-08-21,00670L,90,1,502,2536,6,0,35,413,0,41,0,
2017-08-21,00671R,44,118,2817,5221,0,0,0,2891,0,0,0,
2017-08-21,00672L,4734,8502,80192,128796,4969,749,20141,83990,30,24361,0,
2017-08-21,00673R,934,917,10302,15175,16,29,145,10296,11,132,0,
2017-08-21,00674R,15,1,200,1400,0,0,0,186,0,0,0,
2017-08-21,00675L,42,136,1202,4071,0,14,224,1296,0,210,0,
2017-08-21,00676R,228,142,22975,51752,0,0,25,22889,0,25,0,
2017-08-21,00677U,1284,3061,47140,73302,138,1330,15959,48917,0,14767,0,
2017-08-21,00678,1,0,103,9987,0,0,0,102,0,0,0,
2017-08-21,00680L,0,0,2,1394,0,0,0,2,0,0,0,
2017-08-21,00681R,0,0,3,2398,0,0,0,3,0,0,0,
2017-08-21,00682U,0,0,240,1786,0,0,0,240,0,0,0,
2017-08-21,00683L,6,12,2138,3983,0,0,3,2144,0,3,0,
2017-08-21,00684R,1,0,1,1297,0,0,0,0,0,0,0,
2017-08-21,00685L,0,0,53,3284,0,0,0,53,0,0,0,
2017-08-21,00686R,50,3,6178,8194,0,0,0,6131,0,0,0,
2017-08-21,00688L,0,0,5,1278,0,0,0,5,0,0,0,
2017-08-21,00689R,0,0,0,1597,0,0,0,0,0,0,0,X
2017-08-21,00690,11,7,34,5332,0,0,1,30,0,1,0,
2017-08-21,00691R,0,0,9,1276,0,0,0,9,0,0,0,
2017-08-21,00692,7,0,38,31445,0,0,0,31,0,0,0,
2017-08-21,00693U,438,2,1276,4541,0,6,27,840,0,21,0,
2017-08-21,00698L,0,0,3,1287,0,0,0,3,0,0,0,
2017-08-21,00699R,0,0,0,1803,0,0,0,0,0,0,0,X
2017-08-21,00700,0,0,55,3745,0,0,0,55,0,0,0,
2017-08-21,00701,3,0,7,12347,0,0,0,4,0,0,0,
2017-08-21,00702,2,0,4,6547,0,0,0,2,0,0,0,
2017-08-21,00703,2,0,35,7137,0,0,0,33,0,0,0,
2017-08-21,00704L,0,0,22,2969,0,0,0,22,0,0,0,
2017-08-21,00705R,0,3,12,2828,0,0,0,15,0,0,0,
2017-08-21,00709,0,1,1,4115,0,0,0,2,0,0,0,
2017-08-21,00710B,0,0,0,7065,0,0,0,0,0,0,0,X
2017-08-21,00711B,0,0,0,7065,0,0,0,0,0,0,0,X
2017-08-21,00712,0,0,0,4502,0,0,0,0,0,0,0,X
2017-08-21,008201,0,0,114,6872,0,0,0,114,0,0,0,
2017-08-21,1101,61,4,5365,923043,0,3,75,5308,0,72,0,
2017-08-21,1102,140,47,2645,840361,0,0,12,2555,3,12,0,
2017-08-21,1103,107,23,3109,193695,0,0,0,3025,0,0,0,X
2017-08-21,1104,10,2,3671,163402,1,0,3,3663,0,4,0,
2017-08-21,1108,13,0,1443,101184,0,0,0,1430,0,0,0,
2017-08-21,1109,15,12,636,94725,0,1,1,999,366,0,0,
2017-08-21,1110,64,29,1090,143000,0,0,0,1055,0,0,0,
2017-08-21,1201,0,10,8850,0,0,0,0,8860,0,0,0,OX
