date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance
2018-01-18,0050,19,44,225,123875,36,1,105
2018-01-18,0051,0,0,4,2375,0,0,0
2018-01-18,0052,0,0,0,1500,0,0,0
2018-01-18,0053,1,0,1,1747,0,0,0
2018-01-18,0054,0,0,0,3031,0,0,0
2018-01-18,0055,0,0,67,9413,0,0,0
2018-01-18,0056,60,11,414,98883,0,0,29
2018-01-18,0057,0,0,0,1256,0,0,0
2018-01-18,0058,0,0,0,1049,0,0,0
2018-01-18,0059,0,0,0,1243,0,0,0
2018-01-18,0061,66,23,2704,109154,0,1,168
2018-01-18,006203,0,0,0,1929,0,0,0
2018-01-18,006204,0,0,0,750,0,0,0
2018-01-18,006205,15,13,1253,126324,15,3,23
2018-01-18,006206,21,5,853,38444,0,0,3
2018-01-18,006207,10,0,732,41598,0,0,1
2018-01-18,006208,0,0,0,5760,0,0,0
2018-01-18,00631L,152,55,2759,5146,35,52,1639
2018-01-18,00632R,10918,13304,304054,1260412,110,187,5185
2018-01-18,00633L,6672,4173,75261,139114,666,354,13844
2018-01-18,00634R,103,50,4950,14814,110,0,272
2018-01-18,00635U,3,176,749,12253,2,0,28
2018-01-18,00636,134,126,4622,134661,3,1,116
2018-01-18,00637L,31898,15379,246989,424151,593,619,15743
2018-01-18,00638R,120,168,981,1862,0,0,96
2018-01-18,00639,123,406,7292,86975,0,0,66
2018-01-18,00640L,150,17,1427,2604,1,0,144
2018-01-18,00641R,3,50,6637,9814,0,0,18
2018-01-18,00642U,53,77,3781,33455,0,27,1350
2018-01-18,00643,196,152,4489,62197,5,0,413
2018-01-18,00645,0,0,1,5624,0,0,0
2018-01-18,00646,0,0,12,64496,0,0,0
2018-01-18,00647L,0,2,93,979,0,0,0
2018-01-18,00648R,128,87,11736,38547,1,1,11
2018-01-18,00649,0,0,3,2693,0,0,0
2018-01-18,00650L,33,43,658,959,0,1,99
2018-01-18,00651R,35,159,855,4798,1,0,3
2018-01-18,00652,0,1,7,2758,0,0,0
2018-01-18,00653L,147,108,1874,3100,85,13,215
2018-01-18,00654R,6,2,925,2241,0,0,0
2018-01-18,00655L,4778,1938,53742,70739,22,112,1912
2018-01-18,00656R,23,50,146,2089,0,0,0
2018-01-18,00657,0,0,0,1707,0,0,0
2018-01-18,00658L,1,1,331,1336,0,0,1
2018-01-18,00659R,0,20,1936,3020,0,0,0
2018-01-18,00660,0,0,5,8882,0,0,0
2018-01-18,00661,0,0,0,981,0,0,0
2018-01-18,00662,0,0,1,2132,0,0,0
2018-01-18,00663L,59,47,199,1577,5,35,102
2018-01-18,00664R,447,748,16632,41393,1,0,2
2018-01-18,00665L,289,58,2075,3491,2,7,51
