date,stock_id,name,reason,adjust_from,restore_date,margin_cut,margin_cum,short_raise,short_cum
2019-09-26,1110,東泥,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1110,東泥,成交量過度異常,2019-09-05,,1,0,1,0
2019-09-26,1110,東泥,股權過度集中,,,1,0,1,0
2019-09-26,1110,東泥,監視第二次處置,,,,,,
2019-09-26,1110,東泥,,,,1,1,1,1
2019-09-26,1233,天仁,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1233,天仁,成交量過度異常,2019-08-19,,1,0,1,0
2019-09-26,1233,天仁,股權過度集中,,,1,0,1,0
2019-09-26,1233,天仁,監視第二次處置,,,,,,
2019-09-26,1233,天仁,,,,1,1,1,1
2019-09-26,1410,南染,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1410,南染,成交量過度異常,2019-09-19,,1,0,1,0
2019-09-26,1410,南染,股權過度集中,,,1,0,1,0
2019-09-26,1410,南染,監視第二次處置,,,,,,
2019-09-26,1410,南染,,,,1,1,1,1
2019-09-26,1419,新紡,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1419,新紡,成交量過度異常,2019-03-21,,1,0,1,0
2019-09-26,1419,新紡,股權過度集中,,,1,0,1,0
2019-09-26,1419,新紡,監視第二次處置,,,,,,
2019-09-26,1419,新紡,,,,1,1,1,1
2019-09-26,1436,華友聯,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1436,華友聯,成交量過度異常,2019-09-20,,1,0,1,0
2019-09-26,1436,華友聯,股權過度集中,,,1,0,1,0
2019-09-26,1436,華友聯,監視第二次處置,,,,,,
2019-09-26,1436,華友聯,,,,1,1,1,1
2019-09-26,1456,怡華,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1456,怡華,成交量過度異常,2019-05-28,,1,0,1,0
2019-09-26,1456,怡華,股權過度集中,,,1,0,1,0
2019-09-26,1456,怡華,監視第二次處置,,,,,,
2019-09-26,1456,怡華,,,,1,1,1,1
2019-09-26,1465,偉全,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1465,偉全,成交量過度異常,2019-09-23,,1,0,1,0
2019-09-26,1465,偉全,股權過度集中,,,1,0,1,0
2019-09-26,1465,偉全,監視第二次處置,,,,,,
2019-09-26,1465,偉全,,,,1,1,1,1
2019-09-26,1470,大統新創,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1470,大統新創,成交量過度異常,2017-09-06,,1,0,1,0
2019-09-26,1470,大統新創,股權過度集中,2011-05-11,,1,0,1,0
2019-09-26,1470,大統新創,監視第二次處置,,,,,,
2019-09-26,1470,大統新創,,,,1,1,1,1
2019-09-26,1516,川飛,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1516,川飛,成交量過度異常,2019-06-27,,1,0,1,0
2019-09-26,1516,川飛,股權過度集中,,,1,0,1,0
2019-09-26,1516,川飛,監視第二次處置,,,,,,
2019-09-26,1516,川飛,,,,1,1,1,1
2019-09-26,1530,亞崴,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1530,亞崴,成交量過度異常,2019-09-19,,1,0,1,0
2019-09-26,1530,亞崴,股權過度集中,,,1,0,1,0
2019-09-26,1530,亞崴,監視第二次處置,,,,,,
2019-09-26,1530,亞崴,,,,1,1,1,1
2019-09-26,1535,中宇,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1535,中宇,成交量過度異常,2019-09-05,,1,0,1,0
2019-09-26,1535,中宇,股權過度集中,,,1,0,1,0
2019-09-26,1535,中宇,監視第二次處置,,,,,,
2019-09-26,1535,中宇,,,,1,1,1,1
2019-09-26,1583,程泰,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1583,程泰,成交量過度異常,2018-07-17,,1,0,1,0
2019-09-26,1583,程泰,股權過度集中,,,1,0,1,0
2019-09-26,1583,程泰,監視第二次處置,,,,,,
2019-09-26,1583,程泰,,,,1,1,1,1
2019-09-26,1587,吉茂,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1587,吉茂,成交量過度異常,2019-09-20,,1,0,1,0
2019-09-26,1587,吉茂,股權過度集中,,,1,0,1,0
2019-09-26,1587,吉茂,監視第二次處置,,,,,,
2019-09-26,1587,吉茂,,,,1,1,1,1
2019-09-26,1724,台硝,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1724,台硝,成交量過度異常,2019-09-05,,1,0,1,0
2019-09-26,1724,台硝,股權過度集中,,,1,0,1,0
2019-09-26,1724,台硝,監視第二次處置,,,,,,
2019-09-26,1724,台硝,,,,1,1,1,1
2019-09-26,1725,元禎,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1725,元禎,成交量過度異常,2018-11-20,,1,0,1,0
2019-09-26,1725,元禎,股權過度集中,,,1,0,1,0
2019-09-26,1725,元禎,監視第二次處置,,,,,,
2019-09-26,1725,元禎,,,,1,1,1,1
2019-09-26,1732,毛寶,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1732,毛寶,成交量過度異常,2019-07-29,,1,0,1,0
2019-09-26,1732,毛寶,股權過度集中,,,1,0,1,0
2019-09-26,1732,毛寶,監視第二次處置,,,,,,
2019-09-26,1732,毛寶,,,,1,1,1,1
2019-09-26,1735,日勝化,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1735,日勝化,成交量過度異常,2018-06-20,,1,0,1,0
2019-09-26,1735,日勝化,股權過度集中,,,1,0,1,0
2019-09-26,1735,日勝化,監視第二次處置,,,,,,
2019-09-26,1735,日勝化,,,,1,1,1,1
2019-09-26,1776,展宇,股價波動過度劇烈,,,1,0,1,0
2019-09-26,1776,展宇,成交量過度異常,2018-11-05,,1,0,1,0
2019-09-26,1776,展宇,股權過度集中,,,1,0,1,0
2019-09-26,1776,展宇,監視第二次處置,,,,,,
2019-09-26,1776,展宇,,,,1,1,1,1
2019-09-26,2115,六暉-KY,股價波動過度劇烈,,,1,0,1,0
2019-09-26,2115,六暉-KY,成交量過度異常,2019-08-26,,1,0,1,0
2019-09-26,2115,六暉-KY,股權過度集中,,,1,0,1,0
2019-09-26,2115,六暉-KY,監視第二次處置,,,,,,
2019-09-26,2115,六暉-KY,,,,1,1,1,1
2019-09-26,2228,劍麟,股價波動過度劇烈,2019-08-28,,1,0,1,0
2019-09-26,2228,劍麟,成交量過度異常,,,1,0,1,0
2019-09-26,2228,劍麟,股權過度集中,,,1,0,1,0
2019-09-26,2228,劍麟,監視第二次處置,,,,,,
2019-09-26,2228,劍麟,,,,1,1,1,1
2019-09-26,2236,百達-KY,股價波動過度劇烈,,,1,0,1,0
2019-09-26,2236,百達-KY,成交量過度異常,2019-07-02,,1,0,1,0
2019-09-26,2236,百達-KY,股權過度集中,,,1,0,1,0
2019-09-26,2236,百達-KY,監視第二次處置,,,,,,
2019-09-26,2236,百達-KY,,,,1,1,1,1
2019-09-26,2337,旺宏,股價波動過度劇烈,2019-09-27,,1,0,1,0
2019-09-26,2337,旺宏,成交量過度異常,,,1,0,1,0
2019-09-26,2337,旺宏,股權過度集中,,,1,0,1,0
2019-09-26,2337,旺宏,監視第二次處置,,,,,,
2019-09-26,2337,旺宏,,,,1,1,1,1
2019-09-26,2367,燿華,股價波動過度劇烈,2019-09-11,,1,0,1,0
2019-09-26,2367,燿華,成交量過度異常,,,1,0,1,0
2019-09-26,2367,燿華,股權過度集中,,,1,0,1,0
2019-09-26,2367,燿華,監視第二次處置,,,,,,
2019-09-26,2367,燿華,,,,1,1,1,1
2019-09-26,2373,震旦行,股價波動過度劇烈,,,1,0,1,0
2019-09-26,2373,震旦行,成交量過度異常,2019-08-01,,1,0,1,0
2019-09-26,2373,震旦行,股權過度集中,,,1,0,1,0
2019-09-26,2373,震旦行,監視第二次處置,,,,,,
2019-09-26,2373,震旦行,,,,1,1,1,1
2019-09-26,2424,隴華,股價波動過度劇烈,,,1,0,1,0
