date,stock_id,pre_close,ref_price,value,kind,open_base,source
2009-07-16,3540,41.8,35.94,5.86,除權息,,exDailyQ
2009-07-16,4711,15.85,14.85,1.00,除息,,exDailyQ
2009-07-16,4909,29.5,28.45,1.05,除息,,exDailyQ
2009-07-16,5403,13.25,12.05,1.20,除息,,exDailyQ
2009-07-16,6171,7.39,7.09,0.30,除息,,exDailyQ
2009-07-16,6185,14,13.3,0.70,除息,,exDailyQ
2009-07-16,6210,15.15,14.45,0.70,除息,,exDailyQ
2009-07-16,6270,23.4,21.4,2.00,除息,,exDailyQ
2009-07-16,8109,34.2,30.67,3.53,除權息,,exDailyQ
2009-07-16,8182,19.3,18.6,0.70,除息,,exDailyQ
2009-07-16,8905,14.8,14.6,0.20,除息,,exDailyQ
