date,stock_id,foreign,trust,dealer,total
2017-09-08,006201,0,0,120000,120000
2017-09-08,00679B,69000,0,-30000,39000
2017-09-08,00687B,37000,0,-14000,23000
2017-09-08,00694B,-202000,0,203000,1000
2017-09-08,00695B,-100000,0,107000,7000
2017-09-08,00696B,0,0,0,0
2017-09-08,00697B,-100000,0,103000,3000
2017-09-08,1259,-4000,0,0,-4000
2017-09-08,1264,-1000,0,0,-1000
2017-09-08,1336,-62000,0,0,-62000
2017-09-08,1565,55850,2000,6000,63850
2017-09-08,1566,1000,0,0,1000
2017-09-08,1569,-67000,-411000,-127000,-605000
2017-09-08,1570,-27000,0,0,-27000
2017-09-08,1580,-6000,-14000,-1000,-21000
2017-09-08,1584,16000,0,0,16000
2017-09-08,1586,90000,0,24000,114000
2017-09-08,1591,1000,0,3000,4000
2017-09-08,1595,20000,0,0,20000
2017-09-08,1597,-38000,0,-222000,-260000
2017-09-08,1752,3000,0,0,3000
2017-09-08,1781,0,0,0,0
2017-09-08,1784,28000,0,0,28000
2017-09-08,1785,4999,0,0,4999
2017-09-08,1787,8000,0,0,8000
2017-09-08,1795,44000,0,0,44000
2017-09-08,1799,-5000,0,-40000,-45000
2017-09-08,1813,-1000,0,0,-1000
2017-09-08,1815,12000,0,-101000,-89000
2017-09-08,2061,-12000,0,-2000,-14000
2017-09-08,2066,-94000,0,5000,-89000
2017-09-08,2067,-3000,0,0,-3000
2017-09-08,2221,4000,0,0,4000
2017-09-08,2230,7000,0,0,7000
2017-09-08,2233,-55000,46000,-56000,-65000
2017-09-08,2235,1000,0,0,1000
2017-09-08,2640,41000,15000,0,56000
2017-09-08,2641,-12000,0,0,-12000
2017-09-08,2726,6000,0,-57000,-51000
2017-09-08,2732,3000,0,0,3000
2017-09-08,2734,69000,0,0,69000
2017-09-08,2740,3000,0,0,3000
2017-09-08,2924,-1000,0,0,-1000
2017-09-08,2926,-1000,0,0,-1000
2017-09-08,2928,-3000,0,3000,0
2017-09-08,2937,1000,0,0,1000
2017-09-08,3066,3000,0,0,3000
2017-09-08,3068,53000,0,14000,67000
2017-09-08,3071,14708,0,0,14708
2017-09-08,3078,487000,0,289000,776000
2017-09-08,3081,151000,63000,75000,289000
2017-09-08,3083,11000,0,0,11000
2017-09-08,3085,-55000,0,0,-55000
2017-09-08,3088,2000,0,4000,6000
2017-09-08,3092,155000,-87000,-46500,21500
2017-09-08,3093,-1000,0,0,-1000
2017-09-08,3105,126500,-30000,-167000,-70500
2017-09-08,3114,1000,0,0,1000
2017-09-08,3131,-3000,0,-38000,-41000
2017-09-08,3141,23000,-76000,0,-53000
2017-09-08,3144,165000,0,0,165000
2017-09-08,3152,-43000,-55000,2000,-96000
2017-09-08,3162,-61000,0,-3000,-64000
2017-09-08,3163,-4000,0,-5000,-9000
2017-09-08,3169,198000,0,145000,343000
2017-09-08,3176,21000,0,0,21000
2017-09-08,3188,-1000,0,0,-1000
2017-09-08,3191,30000,0,0,30000
2017-09-08,3202,37000,0,0,37000
2017-09-08,3205,28000,0,0,28000
2017-09-08,3206,56000,0,-20000,36000
2017-09-08,3211,48900,0,11000,59900
2017-09-08,3213,86000,0,0,86000
2017-09-08,3217,17000,90000,3000,110000
2017-09-08,3218,44000,0,0,44000
2017-09-08,3221,4000,0,0,4000
2017-09-08,3224,4000,0,-2000,2000
2017-09-08,3227,-294000,392000,-50000,48000
2017-09-08,3228,-27000,0,0,-27000
2017-09-08,3232,8000,0,0,8000
2017-09-08,3234,7000,0,-14000,-7000
2017-09-08,3236,25000,0,0,25000
2017-09-08,3259,-9000,0,0,-9000
2017-09-08,3260,27000,0,12000,39000
2017-09-08,3264,-217000,-220000,32000,-405000
2017-09-08,3265,11000,0,0,11000
2017-09-08,3272,-61000,0,0,-61000
2017-09-08,3276,17000,0,-4000,13000
2017-09-08,3284,-3000,0,1000,-2000
2017-09-08,3289,34000,18000,141000,193000
2017-09-08,3290,30000,0,0,30000
2017-09-08,3293,146000,0,-28000,118000
2017-09-08,3294,128000,0,0,128000
2017-09-08,3299,39000,0,6000,45000
2017-09-08,3303,14000,0,0,14000
2017-09-08,3306,2000,0,3000,5000
2017-09-08,3313,-22000,0,0,-22000
2017-09-08,3317,114999,0,0,114999
2017-09-08,3322,-87000,0,0,-87000
2017-09-08,3323,528000,0,0,528000
2017-09-08,3324,51000,0,117000,168000
2017-09-08,3325,-35000,0,0,-35000
2017-09-08,3354,-10000,0,11000,1000
2017-09-08,3360,-261000,0,0,-261000
2017-09-08,3362,78000,0,-40000,38000
2017-09-08,3363,-1000,0,-29000,-30000
2017-09-08,3372,63000,0,0,63000
2017-09-08,3374,-99000,0,-208000,-307000
2017-09-08,3379,6000,0,0,6000
2017-09-08,3388,1000,0,0,1000
2017-09-08,3390,46000,0,0,46000
2017-09-08,3402,36000,0,0,36000
2017-09-08,3426,18000,0,77000,95000
2017-09-08,3428,327000,0,263000,590000
2017-09-08,3431,0,0,2000,2000
2017-09-08,3438,34000,0,0,34000
2017-09-08,3441,227000,0,0,227000
2017-09-08,3452,-120000,0,-7000,-127000
2017-09-08,3455,85000,0,-81000,4000
2017-09-08,3479,-4000,0,7000,3000
2017-09-08,3483,38000,0,0,38000
2017-09-08,3484,10000,60000,0,70000
2017-09-08,3489,158000,0,0,158000
2017-09-08,3490,49000,0,-4000,45000
2017-09-08,3491,-35000,12000,5000,-18000
2017-09-08,3492,60000,0,-4000,56000
2017-09-08,3498,84000,0,-46000,38000
2017-09-08,3499,150000,0,0,150000
2017-09-08,3508,-10000,0,0,-10000
2017-09-08,3511,-16000,0,0,-16000
2017-09-08,3512,-12000,0,0,-12000
2017-09-08,3516,-1000,0,0,-1000
2017-09-08,3520,16000,0,0,16000
2017-09-08,3521,3000,0,0,3000
2017-09-08,3522,-11000,0,0,-11000
2017-09-08,3526,-200000,-56000,1000,-255000
2017-09-08,3527,0,0,0,0
2017-09-08,3529,0,0,1000,1000
2017-09-08,3531,18000,0,0,18000
2017-09-08,3540,72000,0,0,72000
2017-09-08,3541,6000,0,16000,22000
2017-09-08,3546,2000,0,46000,48000
2017-09-08,3548,6000,0,-4000,2000
2017-09-08,3551,-9000,0,-5000,-14000
2017-09-08,3552,-65000,0,69000,4000
2017-09-08,3556,-480,0,-13000,-13480
2017-09-08,3558,-32000,0,92000,60000
2017-09-08,3562,-49000,0,5000,-44000
2017-09-08,3563,-5000,-5000,-2000,-12000
2017-09-08,3567,3000,0,0,3000
2017-09-08,3570,2000,0,0,2000
2017-09-08,3580,-158000,0,2000,-156000
2017-09-08,3581,8000,0,0,8000
2017-09-08,3587,8000,0,1000,9000
2017-09-08,3594,-109000,0,0,-109000
2017-09-08,3611,26000,0,-13000,13000
2017-09-08,3615,105000,0,0,105000
2017-09-08,3623,-2000,0,0,-2000
2017-09-08,3625,100000,0,1000,101000
2017-09-08,3630,44000,0,0,44000
2017-09-08,3632,-12000,0,0,-12000
2017-09-08,3646,-1000,0,0,-1000
2017-09-08,3663,9000,0,0,9000
2017-09-08,3664,-17000,0,-1000,-18000
2017-09-08,3666,9000,0,0,9000
2017-09-08,3675,20000,0,0,20000
2017-09-08,3680,41000,0,0,41000
2017-09-08,3684,2000,0,0,2000
2017-09-08,3687,0,0,-5000,-5000
2017-09-08,3689,425000,89000,-29000,485000
2017-09-08,3691,-11000,0,13000,2000
2017-09-08,3693,-5000,0,0,-5000
2017-09-08,3707,83328,0,30000,113328
2017-09-08,4102,9000,0,0,9000
2017-09-08,4103,-1000,0,0,-1000
2017-09-08,4105,-36516,-30000,-6000,-72516
2017-09-08,4107,27000,0,5000,32000
2017-09-08,4109,106000,0,0,106000
2017-09-08,4111,3000,0,0,3000
2017-09-08,4113,108000,0,0,108000
2017-09-08,4114,6000,0,0,6000
2017-09-08,4116,2000,0,0,2000
2017-09-08,4120,19000,0,2000,21000
2017-09-08,4123,11600,0,-138000,-126400
2017-09-08,4126,13000,-15000,6000,4000
2017-09-08,4128,58000,0,-1000,57000
2017-09-08,4129,93000,15000,105000,213000
2017-09-08,4130,36000,0,0,36000
2017-09-08,4138,4000,0,0,4000
2017-09-08,4139,-7000,0,0,-7000
2017-09-08,4147,108247,0,0,108247
2017-09-08,4152,-1000,0,0,-1000
2017-09-08,4153,7000,0,0,7000
2017-09-08,4154,-100000,0,0,-100000
2017-09-08,4157,34000,0,11000,45000
2017-09-08,4160,-4000,0,3000,-1000
2017-09-08,4161,1000,0,0,1000
2017-09-08,4162,17401,-193397,-49000,-224996
2017-09-08,4163,14000,0,0,14000
2017-09-08,4167,240000,120000,0,360000
2017-09-08,4168,6000,0,0,6000
2017-09-08,4171,-1000,0,0,-1000
2017-09-08,4173,7000,0,2000,9000
2017-09-08,4174,-109749,0,0,-109749
2017-09-08,4175,1000,0,0,1000
2017-09-08,4180,-31000,0,0,-31000
2017-09-08,4183,-1000,0,0,-1000
2017-09-08,4188,-131000,0,-18000,-149000
2017-09-08,4198,-2000,0,-6000,-8000
2017-09-08,4207,23000,0,0,23000
2017-09-08,4303,-3000,0,0,-3000
2017-09-08,4304,1000,0,0,1000
2017-09-08,4401,-33000,16000,0,-17000
2017-09-08,4402,352000,0,5000,357000
2017-09-08,4417,-3000,0,0,-3000
2017-09-08,4420,3000,0,1000,4000
2017-09-08,4502,80000,0,0,80000
2017-09-08,4503,-1000,0,0,-1000
2017-09-08,4506,36000,0,0,36000
2017-09-08,4510,-5000,0,0,-5000
2017-09-08,4513,-12000,0,0,-12000
2017-09-08,4527,71000,0,5000,76000
2017-09-08,4528,-19000,152000,-1000,132000
2017-09-08,4529,106000,0,0,106000
2017-09-08,4530,-2000,0,1000,-1000
2017-09-08,4533,2000,0,11000,13000
2017-09-08,4534,-81000,0,-6000,-87000
2017-09-08,4542,-6000,0,2000,-4000
2017-09-08,4549,0,0,1000,1000
2017-09-08,4554,4000,0,0,4000
2017-09-08,4702,-176000,0,0,-176000
2017-09-08,4706,-1000,0,0,-1000
2017-09-08,4707,-16000,0,0,-16000
2017-09-08,4712,-3000,0,0,-3000
2017-09-08,4714,190000,0,0,190000
2017-09-08,4716,-7000,0,0,-7000
2017-09-08,4721,24000,0,29000,53000
2017-09-08,4726,3000,0,0,3000
2017-09-08,4728,8000,0,0,8000
2017-09-08,4729,76000,0,0,76000
2017-09-08,4735,9000,0,0,9000
2017-09-08,4736,-11000,0,0,-11000
2017-09-08,4743,23000,0,-8000,15000
2017-09-08,4745,19000,0,0,19000
2017-09-08,4803,-74000,0,-26000,-100000
2017-09-08,4804,-79000,0,0,-79000
2017-09-08,4806,-3000,0,0,-3000
2017-09-08,4903,-87000,0,-4000,-91000
2017-09-08,4905,1000,0,0,1000
2017-09-08,4908,14000,0,2000,16000
2017-09-08,4911,-1000,0,0,-1000
2017-09-08,4924,2000,0,0,2000
2017-09-08,4933,-3000,0,0,-3000
2017-09-08,4939,392000,0,-54000,338000
2017-09-08,4944,18000,0,-4000,14000
2017-09-08,4946,1000,0,-1000,0
2017-09-08,4947,194000,-96000,-111000,-13000
2017-09-08,4950,-1000,0,0,-1000
2017-09-08,4966,600230,71000,73000,744230
2017-09-08,4971,14000,0,-20000,-6000
2017-09-08,4973,2000,0,0,2000
2017-09-08,4974,41000,0,-156000,-115000
2017-09-08,4979,-8000,0,0,-8000
2017-09-08,4987,-6000,0,0,-6000
2017-09-08,4991,-25000,0,-303000,-328000
2017-09-08,4995,9000,0,0,9000
2017-09-08,5009,-3000,0,83000,80000
2017-09-08,5013,-2000,0,0,-2000
2017-09-08,5014,-133000,0,572000,439000
2017-09-08,5015,-12000,0,0,-12000
2017-09-08,5102,-2000,0,0,-2000
2017-09-08,5201,-36000,0,0,-36000
2017-09-08,5202,-1000,0,0,-1000
2017-09-08,5210,0,0,20000,20000
2017-09-08,5212,5000,0,0,5000
2017-09-08,5227,95000,0,0,95000
2017-09-08,5230,-40000,0,-50000,-90000
2017-09-08,5245,9000,0,5000,14000
2017-09-08,5251,-1000,0,0,-1000
2017-09-08,5255,-33000,0,135000,102000
2017-09-08,5263,10000,0,-37000,-27000
2017-09-08,5272,44000,0,0,44000
2017-09-08,5274,4000,0,0,4000
2017-09-08,5278,-1000,0,0,-1000
2017-09-08,5281,0,0,8000,8000
2017-09-08,5287,-12000,0,-4000,-16000
2017-09-08,5289,194000,0,31000,225000
2017-09-08,5291,17000,0,0,17000
2017-09-08,5301,-2000,0,0,-2000
2017-09-08,5306,-12000,8000,-58000,-62000
2017-09-08,5309,95000,0,0,95000
2017-09-08,5312,4000,0,0,4000
2017-09-08,5315,35000,0,0,35000
2017-09-08,5317,161000,0,0,161000
2017-09-08,5324,-7000,0,0,-7000
2017-09-08,5328,67000,0,8000,75000
2017-09-08,5340,24000,0,-14000,10000
2017-09-08,5347,29560,0,-54000,-24440
2017-09-08,5349,-11000,0,0,-11000
2017-09-08,5351,90000,0,0,90000
2017-09-08,5353,-2600,0,-3000,-5600
2017-09-08,5356,262000,0,-9000,253000
2017-09-08,5371,-185880,0,-7000,-192880
2017-09-08,5381,1000,0,0,1000
2017-09-08,5386,-1000,0,0,-1000
2017-09-08,5392,63000,0,-75000,-12000
2017-09-08,5398,-3000,0,0,-3000
2017-09-08,5403,-2000,0,0,-2000
2017-09-08,5410,8000,0,0,8000
2017-09-08,5425,63850,0,-73000,-9150
2017-09-08,5438,325000,0,0,325000
2017-09-08,5439,23000,0,0,23000
2017-09-08,5443,-13310,0,24000,10690
2017-09-08,5452,0,0,0,0
2017-09-08,5457,419000,0,-231000,188000
2017-09-08,5465,14000,0,2000,16000
2017-09-08,5474,1000,0,0,1000
2017-09-08,5475,-3000,0,8000,5000
2017-09-08,5478,-105730,0,-2000,-107730
2017-09-08,5480,37000,0,0,37000
2017-09-08,5481,0,0,3000,3000
2017-09-08,5483,2222000,293000,66000,2581000
2017-09-08,5490,-26000,0,12000,-14000
2017-09-08,5491,-1000,0,0,-1000
2017-09-08,5498,12000,0,0,12000
2017-09-08,5508,42000,0,4000,46000
2017-09-08,5511,-35750,0,-1000,-36750
2017-09-08,5512,-117000,0,-1000,-118000
2017-09-08,5520,3000,0,0,3000
2017-09-08,5523,-3000,0,0,-3000
2017-09-08,5529,4000,0,-2000,2000
2017-09-08,5530,-24000,0,52000,28000
2017-09-08,5536,9000,0,70000,79000
2017-09-08,5609,4000,0,0,4000
2017-09-08,5820,149000,0,0,149000
2017-09-08,5903,-52000,-5000,0,-57000
2017-09-08,5904,8000,0,-150,7850
2017-09-08,6015,22000,0,0,22000
2017-09-08,6016,107000,0,0,107000
2017-09-08,6021,4000,0,0,4000
2017-09-08,6023,-3000,0,0,-3000
2017-09-08,6024,13000,0,0,13000
2017-09-08,6026,288000,0,0,288000
2017-09-08,6101,-16000,0,-5000,-21000
2017-09-08,6104,21000,0,0,21000
2017-09-08,6105,7000,0,0,7000
2017-09-08,6107,-29000,0,0,-29000
2017-09-08,6111,9000,0,0,9000
2017-09-08,6114,-400,0,0,-400
2017-09-08,6118,141000,0,0,141000
2017-09-08,6121,-450392,10000,-37000,-477392
2017-09-08,6122,12000,0,0,12000
2017-09-08,6123,-19000,0,0,-19000
2017-09-08,6125,-24000,0,0,-24000
2017-09-08,6126,325000,0,0,325000
2017-09-08,6127,7000,0,-35000,-28000
2017-09-08,6129,17000,0,0,17000
2017-09-08,6134,57000,0,0,57000
2017-09-08,6138,-299000,0,-114000,-413000
2017-09-08,6143,-48000,0,-6000,-54000
2017-09-08,6144,2000,0,0,2000
2017-09-08,6146,-1020,0,0,-1020
2017-09-08,6147,588604,0,-292000,296604
2017-09-08,6150,69000,0,0,69000
2017-09-08,6151,6000,0,0,6000
2017-09-08,6156,49000,0,0,49000
2017-09-08,6158,-1000,0,0,-1000
2017-09-08,6160,-1000,0,0,-1000
2017-09-08,6161,-5000,0,0,-5000
2017-09-08,6163,17000,0,0,17000
2017-09-08,6167,76000,0,0,76000
2017-09-08,6169,49000,0,22000,71000
2017-09-08,6170,-78000,0,0,-78000
2017-09-08,6175,-56000,0,0,-56000
2017-09-08,6179,8000,0,0,8000
2017-09-08,6180,115000,0,211000,326000
2017-09-08,6182,-245000,0,2328000,2083000
2017-09-08,6185,17000,0,0,17000
2017-09-08,6187,123000,3000,38000,164000
2017-09-08,6188,-523000,30000,-496000,-989000
2017-09-08,6190,19000,0,0,19000
2017-09-08,6194,-7000,0,0,-7000
2017-09-08,6195,3000,0,0,3000
2017-09-08,6198,0,0,1000,1000
2017-09-08,6203,-5000,0,0,-5000
2017-09-08,6204,6000,0,0,6000
2017-09-08,6207,167000,0,0,167000
2017-09-08,6208,27000,0,0,27000
2017-09-08,6210,8000,0,0,8000
2017-09-08,6217,38000,0,2000,40000
2017-09-08,6218,4000,0,0,4000
2017-09-08,6219,-81,0,0,-81
2017-09-08,6220,551000,691000,411000,1653000
2017-09-08,6223,57000,0,4000,61000
2017-09-08,6228,1000,0,0,1000
2017-09-08,6231,24000,0,1000,25000
2017-09-08,6233,30000,0,-4000,26000
2017-09-08,6237,7000,0,0,7000
2017-09-08,6238,570000,58000,88000,716000
2017-09-08,6244,-126000,0,23000,-103000
2017-09-08,6245,50000,34000,5000,89000
2017-09-08,6246,4000,0,0,4000
2017-09-08,6247,0,0,-3000,-3000
2017-09-08,6261,1790000,0,-6000,1784000
2017-09-08,6263,46000,0,1000,47000
2017-09-08,6265,-59000,0,0,-59000
2017-09-08,6266,396000,0,0,396000
2017-09-08,6270,-79000,0,-8000,-87000
2017-09-08,6274,480000,196000,89000,765000
2017-09-08,6275,-2000,0,0,-2000
2017-09-08,6276,3000,0,0,3000
2017-09-08,6279,15000,0,14000,29000
2017-09-08,6284,-331000,0,-8000,-339000
2017-09-08,6290,-212000,-100000,-282000,-594000
2017-09-08,6298,-59000,0,-2000,-61000
2017-09-08,6404,2000,0,0,2000
2017-09-08,6411,6000,-50000,19000,-25000
2017-09-08,6417,1000,0,0,1000
2017-09-08,6419,1000,0,0,1000
2017-09-08,6426,31000,0,7000,38000
2017-09-08,6438,0,0,-68000,-68000
2017-09-08,6446,15000,0,0,15000
2017-09-08,6462,352000,61000,149000,562000
2017-09-08,6469,2000,0,0,2000
2017-09-08,6470,43000,0,0,43000
2017-09-08,6472,3000,0,0,3000
2017-09-08,6482,0,0,-1000,-1000
2017-09-08,6485,-7000,0,0,-7000
2017-09-08,6486,-26000,0,0,-26000
2017-09-08,6488,134194,25000,616000,775194
2017-09-08,6492,-4000,0,0,-4000
2017-09-08,6494,14000,0,0,14000
2017-09-08,6496,28000,0,0,28000
2017-09-08,6497,2000,0,0,2000
2017-09-08,6506,11000,0,0,11000
2017-09-08,6508,5000,0,0,5000
2017-09-08,6509,3000,0,-43000,-40000
2017-09-08,6510,-8000,-5000,2000,-11000
2017-09-08,6523,5000,0,0,5000
2017-09-08,6532,16000,0,0,16000
2017-09-08,6535,5000,0,0,5000
2017-09-08,6542,1000,0,0,1000
2017-09-08,6548,5000,2000,-1000,6000
2017-09-08,6554,-23000,0,-6000,-29000
2017-09-08,6560,-4000,0,0,-4000
2017-09-08,6568,-7000,5000,29000,27000
2017-09-08,6577,-8000,0,0,-8000
2017-09-08,6594,5000,0,0,5000
2017-09-08,6603,53000,0,0,53000
2017-09-08,6609,5000,0,0,5000
2017-09-08,6803,3000,0,-1000,2000
2017-09-08,7402,0,0,-1000,-1000
2017-09-08,8027,29000,0,0,29000
2017-09-08,8034,71000,0,8000,79000
2017-09-08,8038,34700,0,0,34700
2017-09-08,8040,2000,0,0,2000
2017-09-08,8042,-14000,0,-17000,-31000
2017-09-08,8043,-1000,0,0,-1000
2017-09-08,8044,-242108,0,11000,-231108
2017-09-08,8047,-9000,0,0,-9000
2017-09-08,8048,-2000,0,0,-2000
2017-09-08,8049,66000,0,0,66000
2017-09-08,8050,-265000,0,90000,-175000
2017-09-08,8054,41000,0,0,41000
2017-09-08,8059,7000,0,0,7000
2017-09-08,8064,2000,0,34000,36000
2017-09-08,8066,-55000,0,53000,-2000
2017-09-08,8069,-618182,0,-2101000,-2719182
2017-09-08,8071,64000,0,0,64000
