date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2026-08-11,006201,-11978,35000,87094,110116,0,87094
2026-08-11,00679B,-2185709,0,-4943821,-7129530,-160000,-4783821
2026-08-11,00687B,-1801891,0,2070735,268844,0,2070735
2026-08-11,00687C,0,0,0,0,0,0
2026-08-11,00694B,-109000,0,-117894,-226894,0,-117894
2026-08-11,00695B,-163000,0,153788,-9212,0,153788
2026-08-11,00696B,-212000,0,157197,-54803,0,157197
2026-08-11,00697B,0,0,-123935,-123935,0,-123935
2026-08-11,00719B,-517950,0,126428,-391522,0,126428
2026-08-11,00720B,-1950839,0,-1679,-1952518,0,-1679
2026-08-11,00722B,-956000,0,216494,-739506,0,216494
2026-08-11,00723B,0,0,-155288,-155288,0,-155288
2026-08-11,00724B,28000,0,-141298,-113298,0,-141298
2026-08-11,00725B,-891000,0,-157476,-1048476,0,-157476
2026-08-11,00726B,-6000,0,-21468,-27468,0,-21468
2026-08-11,00727B,0,0,-24152,-24152,0,-24152
2026-08-11,00734B,20000,0,-21000,-1000,0,-21000
2026-08-11,00740B,-378000,0,-134425,-512425,0,-134425
2026-08-11,00741B,-1000,0,19,-981,0,19
2026-08-11,00746B,0,0,-5381,-5381,0,-5381
2026-08-11,00749B,-3000,0,0,-3000,0,0
2026-08-11,00750B,0,0,0,0,0,0
2026-08-11,00751B,-70950,0,-2671565,-2742515,0,-2671565
2026-08-11,00754B,0,0,-18437,-18437,0,-18437
2026-08-11,00755B,0,0,-21000,-21000,0,-21000
2026-08-11,00756B,-6000,0,-6962,-12962,0,-6962
2026-08-11,00758B,0,0,-11,-11,0,-11
2026-08-11,00759B,0,0,-34,-34,0,-34
2026-08-11,00760B,-6000,0,-202,-6202,0,-202
2026-08-11,00761B,-14000,0,-109393,-123393,0,-109393
2026-08-11,00764B,-3000,0,82785,79785,0,82785
2026-08-11,00768B,-219000,0,4065,-214935,0,4065
2026-08-11,00772B,-1243000,0,-146149,-1389149,0,-146149
2026-08-11,00773B,0,0,-115855,-115855,0,-115855
2026-08-11,00777B,-1000,0,0,-1000,0,0
2026-08-11,00778B,0,0,7000,7000,0,7000
2026-08-11,00779B,0,0,12000,12000,0,12000
2026-08-11,00780B,0,0,-5000,-5000,0,-5000
2026-08-11,00781B,0,0,-74712,-74712,0,-74712
2026-08-11,00782B,5000,0,-109180,-104180,0,-109180
2026-08-11,00785B,-20000,0,20880,880,0,20880
2026-08-11,00786B,-28000,0,26845,-1155,0,26845
2026-08-11,00787B,-1000,0,12769,11769,0,12769
2026-08-11,00788B,-6000,0,1865,-4135,0,1865
2026-08-11,00789B,-18000,0,16850,-1150,0,16850
2026-08-11,00791B,-10000,0,-16045,-26045,0,-16045
2026-08-11,00792B,-500,0,-16200,-16700,0,-16200
2026-08-11,00793B,-4000,0,5784,1784,0,5784
2026-08-11,00795B,-1283000,0,-696853,-1979853,0,-696853
2026-08-11,00799B,-2000,0,-66170,-68170,0,-66170
2026-08-11,00834B,-4000,0,3000,-1000,0,3000
2026-08-11,00836B,-47000,0,40000,-7000,0,40000
2026-08-11,00840B,0,0,0,0,0,0
2026-08-11,00841B,0,0,0,0,0,0
2026-08-11,00842B,-2000,0,-186577,-188577,0,-186577
2026-08-11,00844B,0,0,0,0,0,0
2026-08-11,00845B,0,0,0,0,0,0
2026-08-11,00846B,0,0,-4989,-4989,0,-4989
2026-08-11,00847B,-1000,0,903,-97,0,903
2026-08-11,00848B,0,0,-1,-1,0,-1
2026-08-11,00849B,-9000,0,-374,-9374,0,-374
2026-08-11,00853B,-70000,0,28686,-41314,0,28686
2026-08-11,00856B,0,0,4000,4000,0,4000
2026-08-11,00857B,-421000,0,74091,-346909,0,74091
2026-08-11,00858,-1025,0,138782,137757,0,138782
2026-08-11,00859B,-24000,0,-77481,-101481,0,-77481
2026-08-11,00860B,0,0,2989,2989,0,2989
2026-08-11,00862B,-199000,0,181944,-17056,0,181944
2026-08-11,00863B,0,0,-1108,-1108,0,-1108
2026-08-11,00864B,-45000,0,-155000,-200000,0,-155000
2026-08-11,00867B,-25000,0,-343,-25343,0,-343
2026-08-11,00870B,-1000,0,1000,0,0,1000
2026-08-11,00877,49000,0,790648,839648,12000,778648
2026-08-11,00884B,0,0,-439,-439,0,-439
2026-08-11,00886,0,0,383,383,0,383
2026-08-11,00887,1968000,0,416193,2384193,0,416193
2026-08-11,00888,-202968,0,522313,319345,-138000,660313
2026-08-11,00890B,-10000,0,11000,1000,0,11000
2026-08-11,00928,5000,0,-97034,-92034,0,-97034
2026-08-11,00931B,-413000,0,-324335,-737335,0,-324335
2026-08-11,00933B,-594950,0,-9499456,-10094406,0,-9499456
2026-08-11,00937B,-20202000,0,-38470888,-58672888,110000,-38580888
2026-08-11,00942B,-556000,0,-8655,-564655,0,-8655
2026-08-11,00948B,0,0,-1760903,-1760903,0,-1760903
2026-08-11,00950B,10000,0,-2392307,-2382307,0,-2392307
2026-08-11,00955,660321,0,1282815,1943136,-127000,1409815
2026-08-11,00957B,-181000,0,-97499,-278499,0,-97499
2026-08-11,00958B,-582000,0,151379,-430621,0,151379
2026-08-11,00959B,-381900,0,-168039,-549939,0,-168039
2026-08-11,00966B,-131000,0,238939,107939,0,238939
2026-08-11,00967B,12000,0,-358987,-346987,0,-358987
2026-08-11,00968B,-1057000,0,-687416,-1744416,0,-687416
2026-08-11,00969B,-3000,0,-165941,-168941,0,-165941
2026-08-11,00970B,7000,0,-679090,-672090,0,-679090
2026-08-11,009806,0,0,-34167,-34167,0,-34167
2026-08-11,009807,1000,0,-25194,-24194,0,-25194
2026-08-11,00980B,0,0,-103054,-103054,0,-103054
