date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2017-11-06,006201,0,0,8,4486,0,0,0,8,0,0,0,
2017-11-06,00679B,0,0,3,162673,0,0,0,3,0,0,0,
2017-11-06,00687B,0,0,0,29071,0,0,0,0,0,0,0,X
2017-11-06,00694B,0,0,0,19144,0,0,0,0,0,0,0,X
2017-11-06,00695B,0,0,0,2796,0,0,0,0,0,0,0,X
2017-11-06,00696B,0,0,0,2295,0,0,0,0,0,0,0,X
2017-11-06,00697B,0,0,0,2803,0,0,0,0,0,0,0,X
2017-11-06,1258,1,0,867,9204,0,0,1,868,2,1,0,11     C
2017-11-06,1259,2,0,115,8097,0,0,0,113,0,0,0,11     C
2017-11-06,1264,1,0,189,8423,0,0,0,188,0,0,0,11     C
2017-11-06,1333,0,0,0,0,0,0,0,0,0,0,0,OX
2017-11-06,1336,166,162,9651,17995,14,0,74,9647,0,88,0,
2017-11-06,1565,36,13,537,12604,4,0,73,514,0,77,0,
2017-11-06,1566,10,11,4216,16616,2,0,7,4217,0,9,0,
2017-11-06,1569,310,128,7066,25472,77,42,385,6897,13,420,0,
2017-11-06,1570,93,33,3751,12875,0,0,0,3691,0,0,0,
2017-11-06,1580,0,4,224,12132,0,0,2,228,0,2,0,
2017-11-06,1584,85,15,4339,20617,15,0,95,4269,0,110,0,
2017-11-06,1586,136,35,16802,18251,181,2,608,16701,0,787,0,@
2017-11-06,1593,2,2,576,7608,0,8,17,576,0,9,0,
2017-11-06,1595,42,4,1554,11655,0,11,11,1516,0,0,0,
2017-11-06,1597,669,639,5149,15511,46,46,1454,5120,1,1455,1,
2017-11-06,1599,19,9,781,15500,0,0,45,771,0,45,0,
2017-11-06,1742,0,0,0,0,0,0,0,0,0,0,0,OX
2017-11-06,1752,12,8,4422,25247,0,0,35,4418,0,35,0,
2017-11-06,1777,6,9,2823,7514,2,6,31,2826,0,27,0,11     C
2017-11-06,1781,0,0,1306,0,0,0,0,1320,14,0,0,OX
2017-11-06,1784,7,0,2244,12422,0,1,2,2237,0,1,0,
2017-11-06,1785,0,0,1468,0,0,0,0,1468,0,0,0,OX
2017-11-06,1787,0,11,3961,18001,0,0,1,3972,0,1,0,
2017-11-06,1788,1,0,49,8750,0,0,0,48,0,0,0,11     C
2017-11-06,1795,577,480,6998,21847,0,4,67,6902,1,63,0,
2017-11-06,1799,3,4,2486,14379,0,0,121,2487,0,121,0,
2017-11-06,1813,0,0,231,11658,0,0,3,231,0,3,0,
2017-11-06,1815,925,762,42493,109644,92,39,734,42330,0,787,0,
2017-11-06,2035,0,0,3,87500,0,0,0,3,0,0,0,11     C
2017-11-06,2063,0,2,2283,11250,0,0,4,2285,0,4,0,
2017-11-06,2064,1,0,90,17500,0,0,0,89,0,0,0,11     C
2017-11-06,2065,0,0,2,8169,0,0,0,2,0,0,0,
2017-11-06,2066,2,1,746,9125,0,0,0,745,0,0,0,
2017-11-06,2221,112,145,2869,10606,1,0,46,2902,0,47,0,
2017-11-06,2230,1,0,518,9904,0,0,0,517,0,0,0,11     C
2017-11-06,2233,341,385,5090,12303,1,11,108,5134,0,98,0,
2017-11-06,2235,2,2,860,7969,0,0,2,860,0,2,0,11    BC
2017-11-06,2596,4,0,1369,24345,0,0,37,1365,0,37,0,
2017-11-06,2640,11,31,1482,12189,0,0,32,1502,0,32,0,
2017-11-06,2641,134,171,20616,46252,1,1,13,20653,0,13,0,
2017-11-06,2719,0,0,205,0,0,0,0,205,0,0,0,11OX   C
2017-11-06,2726,49,26,826,7994,0,0,128,803,0,128,0,11    B
2017-11-06,2732,20,41,1196,8687,0,26,232,1217,0,206,0,
2017-11-06,2734,0,0,492,7564,1,0,5,492,0,6,0,
2017-11-06,2736,2,0,84,12248,0,0,0,82,0,0,0,11     C
2017-11-06,2916,31,0,115,11609,0,0,0,84,0,0,0,11     C
2017-11-06,2924,0,0,843,8501,0,0,5,843,0,5,0,11    B
2017-11-06,2926,0,1,95,11847,0,0,0,96,0,0,0,11     C
2017-11-06,2928,96,114,1846,11825,9,41,62,1889,25,30,0,
2017-11-06,3064,0,0,0,0,0,0,0,0,0,0,0,OX
2017-11-06,3066,0,0,0,0,0,0,0,0,0,0,0,11OX   C
2017-11-06,3068,102,50,5637,23366,1,20,352,5585,0,333,0,
2017-11-06,3071,2202,1974,10404,35286,4,150,204,10176,0,58,0,
2017-11-06,3073,0,0,0,0,0,0,0,0,0,0,0,OX
2017-11-06,3078,4577,4209,19202,56847,22,211,566,18834,0,377,0,
2017-11-06,3081,174,209,2023,22647,18,9,470,2061,3,479,0,
2017-11-06,3083,23,9,3149,21426,1,0,99,3135,0,100,0,
2017-11-06,3085,0,0,0,0,0,0,0,0,0,0,0,OX
2017-11-06,3086,0,0,0,0,0,0,0,0,0,0,0,11OX   C
2017-11-06,3088,163,112,2642,19808,0,11,54,2591,0,43,0,
2017-11-06,3089,0,0,0,0,0,0,0,0,0,0,0,11OX   C
2017-11-06,3092,203,158,8890,17450,4,21,198,8845,0,181,0,
2017-11-06,3093,1,10,201,9072,0,0,0,210,0,0,0,11     C
