date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance
2024-01-15,006201,3,1,78,4361,0,0,0
2024-01-15,00679B,216,69,11789,1249923,5,152,3824
2024-01-15,00687B,516,141,18748,685321,2,30,70
2024-01-15,00694B,0,0,0,72144,0,0,0
2024-01-15,00695B,0,0,1,7796,0,0,0
2024-01-15,00696B,22,100,1029,268420,0,0,0
2024-01-15,00697B,0,0,24,6428,0,0,0
2024-01-15,00718B,0,0,0,132875,0,0,0
2024-01-15,00719B,0,0,51,128128,0,0,0
2024-01-15,00720B,173,270,10096,874902,0,0,0
2024-01-15,00721B,0,0,0,1155,0,0,0
2024-01-15,00722B,0,0,358,339309,0,0,0
2024-01-15,00723B,0,0,5,345270,0,0,0
2024-01-15,00724B,4,10,119,704818,0,0,0
2024-01-15,00725B,107,369,1113,605051,0,0,0
2024-01-15,00726B,4,0,141,289122,0,0,0
2024-01-15,00727B,0,0,0,22797,0,0,0
2024-01-15,00734B,0,0,2,8369,0,0,0
2024-01-15,00740B,0,1,55,295867,0,0,0
2024-01-15,00741B,0,0,0,2907,0,0,0
2024-01-15,00746B,0,0,105,591366,0,0,0
2024-01-15,00749B,3,0,26,238000,0,0,0
2024-01-15,00750B,0,0,0,31500,0,0,0
2024-01-15,00751B,38,55,5304,979150,30,20,37
2024-01-15,00754B,0,0,0,121850,0,0,0
2024-01-15,00755B,0,0,0,42432,0,0,0
2024-01-15,00756B,11,0,71,290700,0,0,0
2024-01-15,00758B,0,0,0,1381,0,0,0
2024-01-15,00759B,0,0,0,11881,0,0,0
2024-01-15,00760B,0,0,14,87130,0,0,0
2024-01-15,00761B,0,0,31,614272,0,0,0
2024-01-15,00764B,0,10,291,255750,0,0,0
2024-01-15,00768B,0,0,2,87525,0,0,0
2024-01-15,00772B,6,14,3071,898447,0,0,0
2024-01-15,00773B,1,5,818,605197,0,0,0
2024-01-15,00777B,0,0,0,375537,0,0,0
2024-01-15,00778B,0,0,0,358287,0,0,0
2024-01-15,00779B,0,0,0,224787,0,0,0
2024-01-15,00780B,0,0,4,65025,0,0,0
2024-01-15,00781B,0,0,0,1209,0,0,0
2024-01-15,00782B,0,0,58,6366,0,0,0
2024-01-15,00784B,0,0,0,748,0,0,0
2024-01-15,00785B,0,0,0,209241,0,0,0
2024-01-15,00786B,0,1,19,6141,0,0,0
2024-01-15,00787B,0,0,1,3326,0,0,0
2024-01-15,00788B,0,0,42,7301,0,0,0
2024-01-15,00789B,0,0,0,47400,0,0,0
2024-01-15,00790B,0,0,0,525,0,0,0
2024-01-15,00791B,0,0,0,63400,0,0,0
2024-01-15,00792B,0,0,0,399653,0,0,0
2024-01-15,00793B,0,0,0,1006,0,0,0
2024-01-15,00794B,0,0,0,7921,0,0,0
2024-01-15,00795B,0,0,5024,235899,0,0,0
2024-01-15,00799B,0,0,1,2009,0,0,0
2024-01-15,00831B,0,0,0,3525,0,0,0
2024-01-15,00834B,0,0,0,4924,0,0,0
2024-01-15,00836B,0,0,8,100260,0,0,0
2024-01-15,00840B,0,0,0,14982,0,0,0
2024-01-15,00841B,0,0,1,13610,0,0,0
2024-01-15,00842B,0,0,0,2441,0,0,0
2024-01-15,00844B,0,0,0,70043,0,0,0
2024-01-15,00845B,0,0,0,50387,0,0,0
2024-01-15,00846B,0,0,0,18462,0,0,0
2024-01-15,00847B,0,0,0,2826,0,0,0
2024-01-15,00848B,4,0,11,43516,0,0,0
2024-01-15,00849B,0,0,0,131526,0,0,0
2024-01-15,00853B,0,3,85,15283,0,0,0
2024-01-15,00856B,0,0,1,2073,0,0,0
2024-01-15,00857B,11,0,542,56442,0,0,0
2024-01-15,00858,321,1,355,5468,0,0,0
2024-01-15,00859B,0,0,0,1127,0,0,0
2024-01-15,00860B,0,0,0,1667,0,0,0
2024-01-15,00862B,0,0,13,125095,0,0,0
2024-01-15,00863B,0,0,0,120366,0,0,0
2024-01-15,00864B,0,0,33,30305,0,0,0
2024-01-15,00867B,0,0,0,122037,0,0,0
2024-01-15,00870B,0,0,0,126787,0,0,0
2024-01-15,00877,0,5,4871,81322,0,0,2
2024-01-15,00883B,0,0,1,2314,0,0,0
2024-01-15,00884B,10,0,31,6610,0,0,0
2024-01-15,00886,5,0,5,2362,0,0,0
2024-01-15,00887,0,0,113,5337,0,0,0
2024-01-15,00888,15,1,241,170119,0,0,0
2024-01-15,00890B,0,0,33,6316,0,0,0
2024-01-15,00928,4,20,57,9464,0,0,0
2024-01-15,00931B,23,142,3663,345974,0,0,0
2024-01-15,00933B,247,55,2745,349739,0,0,0
2024-01-15,00937B,553,383,16555,649951,0,5,9806
2024-01-15,1240,0,0,41,9842,0,0,0
2024-01-15,1259,1,3,30,8097,0,0,0
2024-01-15,1264,0,0,3,9266,0,0,0
2024-01-15,1268,4,11,607,10555,0,0,0
2024-01-15,1336,5,0,2829,19704,0,0,0
2024-01-15,1565,20,10,1319,12604,0,0,0
2024-01-15,1569,45,7,3144,30361,0,0,3
2024-01-15,1570,2,5,6464,12875,0,0,2
2024-01-15,1580,6,3,1150,12557,0,0,4
2024-01-15,1584,77,247,11923,38117,2,3,56
2024-01-15,1586,34,16,13062,21578,9,0,24
2024-01-15,1591,29,39,4266,8699,2,2,325
2024-01-15,1593,0,0,336,9946,0,0,0
2024-01-15,1595,3,67,255,11946,0,0,0
2024-01-15,1599,0,14,1030,18632,0,0,0
2024-01-15,1742,10,1,1697,11875,0,0,0
2024-01-15,1777,0,0,174,11147,0,0,1
2024-01-15,1781,0,0,0,0,0,0,0
2024-01-15,1784,172,74,3493,12406,0,0,22
2024-01-15,1785,8,44,5737,149110,2,0,17
2024-01-15,1788,0,0,4,11130,0,0,0
2024-01-15,1796,8,11,667,7364,0,0,0
2024-01-15,1799,0,0,0,0,0,0,0
2024-01-15,1813,0,1,334,11658,0,0,0
2024-01-15,1815,246,5026,40262,114755,309,64,1101
2024-01-15,2035,0,1,16,87500,0,0,0
2024-01-15,2061,0,0,634,11777,0,0,0
2024-01-15,2063,0,0,253,12399,0,0,3
2024-01-15,2064,1,11,330,17407,0,0,0
2024-01-15,2065,2,6,85,13349,0,0,10
2024-01-15,2066,6,3,1327,10529,0,0,8
2024-01-15,2067,0,0,0,0,0,0,0
2024-01-15,2070,0,2,1536,8945,0,0,0
2024-01-15,2221,0,0,280,10581,0,0,0
2024-01-15,2230,217,292,5364,12780,3,150,587
2024-01-15,2235,0,1,90,8969,0,0,0
2024-01-15,2596,89,33,1764,25000,2,2,6
2024-01-15,2640,4,0,1018,14816,0,0,0
2024-01-15,2641,146,393,12976,73120,21,12,3103
2024-01-15,2643,6,6,452,8750,0,0,1
2024-01-15,2719,0,0,0,0,0,0,0
2024-01-15,2724,0,0,0,0,0,0,0
2024-01-15,2726,0,0,249,0,0,0,0
2024-01-15,2729,15,1,405,8985,0,0,0
2024-01-15,2732,53,66,1423,11618,0,3,11
2024-01-15,2734,0,0,0,0,0,0,0
2024-01-15,2736,230,218,2636,12493,95,10,401
2024-01-15,2743,99,125,2281,9002,24,8,711
2024-01-15,2754,8,18,769,11679,0,0,1
2024-01-15,2755,0,1,31,7535,0,0,0
2024-01-15,2916,1,16,139,13656,0,0,0
2024-01-15,2924,0,0,0,0,0,0,0
2024-01-15,2926,0,0,84,11847,0,0,0
2024-01-15,3064,0,0,0,0,0,0,0
2024-01-15,3066,132,84,687,19392,34,5,49
2024-01-15,3071,11,30,5156,27500,0,0,1
2024-01-15,3073,12,3,362,2176,0,0,0
2024-01-15,3078,45,204,12823,56847,31,11,747
2024-01-15,3081,108,58,9770,22965,4,13,216
2024-01-15,3083,7,7,2366,21610,0,0,25
2024-01-15,3085,0,0,0,0,0,0,0
2024-01-15,3086,29,55,450,4088,7,0,90
2024-01-15,3088,59,43,2323,25404,1,0,11
2024-01-15,3089,0,0,0,0,0,0,0
2024-01-15,3093,4,0,2729,36288,0,0,0
2024-01-15,3095,0,0,0,0,0,0,0
2024-01-15,3105,74,59,8657,105985,11,7,353
2024-01-15,3114,9,12,829,16282,0,0,1
2024-01-15,3118,0,0,93,8113,0,0,0
2024-01-15,3122,227,82,2866,9946,28,21,872
2024-01-15,3128,3,11,2523,10500,0,0,0
2024-01-15,3141,13,22,7174,18766,0,3,180
2024-01-15,3147,7,62,1971,9751,2,0,50
2024-01-15,3152,22,6,505,17254,0,0,21
2024-01-15,3162,71,82,8491,22068,0,0,18
2024-01-15,3163,112,85,9107,20135,18,13,1575
2024-01-15,3169,16,24,2967,12595,0,1,133
2024-01-15,3171,1,10,308,12825,0,0,0
2024-01-15,3178,2,83,2064,11262,0,0,7
