date,stock_id,close,yield_pct,dividend_year,per,pbr,fs_quarter
2026-08-14,1240,,6.17,114,10.54,1.67,115Q2
2026-08-14,1259,,1.85,114,18.36,0.75,115Q2
2026-08-14,1264,,5.78,114,12.24,2.71,115Q2
2026-08-14,1268,,4.41,114,13.77,3.19,115Q2
2026-08-14,1294,,8.73,114,11.74,2.12,115Q2
2026-08-14,1295,,6.42,114,11.33,1.23,115Q2
2026-08-14,1336,,1.47,114,23.53,0.72,115Q2
2026-08-14,1565,,6.13,114,11.78,0.74,115Q2
2026-08-14,1569,,0.00,114,,2.06,115Q2
2026-08-14,1570,,2.93,114,49.49,1.70,115Q2
2026-08-14,1580,,7.91,114,9.37,1.70,115Q2
2026-08-14,1584,,1.42,114,31.29,0.88,115Q2
2026-08-14,1586,,0.00,114,51.89,0.97,115Q2
2026-08-14,1591,,0.00,114,,3.08,115Q1
2026-08-14,1593,,6.35,114,8.02,0.92,115Q2
2026-08-14,1595,,0.77,114,,1.34,115Q2
2026-08-14,1599,,2.13,114,,0.91,115Q2
2026-08-14,1742,,0.00,114,,1.27,115Q2
2026-08-14,1777,,5.37,114,10.03,1.29,115Q2
2026-08-14,1780,,5.26,114,14.31,1.71,115Q2
2026-08-14,1781,,0.00,114,,1.72,115Q2
2026-08-14,1784,,1.44,114,56.11,2.46,115Q2
2026-08-14,1785,,1.91,114,15.62,3.84,115Q2
2026-08-14,1788,,5.36,114,14.83,1.97,115Q2
2026-08-14,1796,,2.28,114,74.88,1.62,115Q2
2026-08-14,1799,,0.00,114,,5.30,115Q2
2026-08-14,1813,,0.00,114,50.22,0.78,115Q2
2026-08-14,1815,,1.09,114,26.52,3.91,115Q2
2026-08-14,2035,,0.00,114,,3.85,115Q2
2026-08-14,2061,,0.00,114,44.87,4.29,115Q2
2026-08-14,2063,,6.22,114,13.17,1.21,115Q2
2026-08-14,2064,,0.00,114,617.50,0.92,115Q2
2026-08-14,2065,,4.17,114,9.44,1.26,115Q2
2026-08-14,2066,,3.68,114,16.00,1.20,115Q2
2026-08-14,2067,,0.00,114,,1.45,115Q2
2026-08-14,2070,,2.48,114,22.00,2.14,115Q2
2026-08-14,2073,,1.12,114,,1.87,115Q2
2026-08-14,2221,,2.87,114,17.26,2.04,115Q2
2026-08-14,2230,,2.44,114,,1.58,115Q2
2026-08-14,2235,,5.49,114,20.07,0.82,115Q2
2026-08-14,2596,,4.61,114,11.92,1.51,115Q2
2026-08-14,2640,,5.32,114,15.81,4.45,115Q2
2026-08-14,2641,,2.88,114,7.51,0.68,115Q2
2026-08-14,2643,,7.40,114,8.47,1.09,115Q2
2026-08-14,2718,,11.51,114,4.65,0.68,115Q2
2026-08-14,2719,,0.00,114,30.43,1.95,115Q2
2026-08-14,2724,,0.00,114,,1.48,115Q1
2026-08-14,2726,,0.00,114,,0.89,115Q1
2026-08-14,2729,,4.33,114,26.27,3.01,115Q2
2026-08-14,2732,,5.56,114,18.31,1.58,115Q2
2026-08-14,2734,,0.00,114,,1.30,115Q2
2026-08-14,2736,,0.00,114,,0.66,115Q2
2026-08-14,2740,,0.00,114,,4.02,115Q2
2026-08-14,2743,,5.73,114,15.16,2.30,115Q2
2026-08-14,2745,,8.51,114,8.94,3.24,115Q2
2026-08-14,2751,,7.42,114,10.65,2.46,115Q2
2026-08-14,2752,,7.50,114,11.04,3.88,115Q2
2026-08-14,2754,,1.44,114,15.83,1.78,115Q2
2026-08-14,2755,,5.66,114,14.68,3.55,115Q2
2026-08-14,2756,,5.84,114,13.42,2.49,115Q2
2026-08-14,2916,,8.85,114,10.49,1.71,115Q2
2026-08-14,2924,,0.00,114,,1.86,115Q1
2026-08-14,2926,,1.53,114,47.62,2.31,115Q2
2026-08-14,2937,,6.49,114,11.70,1.89,115Q2
2026-08-14,2941,,7.50,114,12.94,1.35,115Q2
2026-08-14,2947,,1.60,114,19.00,1.64,115Q2
2026-08-14,2948,,5.93,114,17.57,1.15,115Q2
2026-08-14,2949,,3.33,114,17.23,1.72,115Q2
2026-08-14,3064,,0.00,114,,5.12,115Q2
2026-08-14,3066,,0.00,114,3.87,1.16,115Q2
2026-08-14,3067,,0.00,114,580.00,1.40,115Q2
2026-08-14,3071,,3.25,114,42.41,1.75,115Q2
2026-08-14,3073,,0.00,114,,1.32,115Q2
2026-08-14,3078,,7.53,114,14.75,1.77,115Q2
2026-08-14,3081,,0.16,114,218.59,49.79,115Q2
2026-08-14,3083,,1.39,114,32.53,1.59,115Q2
2026-08-14,3085,,0.00,114,,2.18,115Q2
2026-08-14,3086,,0.00,114,,24.09,115Q2
2026-08-14,3088,,2.28,114,16.10,2.57,115Q2
2026-08-14,3093,,2.45,114,47.96,4.34,115Q2
2026-08-14,3095,,0.00,114,15.43,3.02,115Q2
2026-08-14,3105,,0.53,114,44.42,3.66,115Q2
2026-08-14,3114,,4.20,114,10.37,1.31,115Q2
2026-08-14,3115,,0.00,114,,1.16,115Q2
2026-08-14,3118,,6.92,114,13.59,1.91,115Q2
2026-08-14,3122,,0.00,114,,3.27,115Q2
2026-08-14,3128,,4.54,114,19.17,1.34,115Q2
2026-08-14,3131,,1.82,114,44.88,23.06,115Q2
2026-08-14,3141,,0.50,114,71.09,2.01,115Q1
2026-08-14,3147,,2.80,114,14.42,5.24,115Q2
2026-08-14,3152,,3.16,114,24.92,2.41,115Q2
2026-08-14,3158,,7.86,114,11.50,2.65,115Q2
2026-08-14,3162,,1.38,114,99.84,2.36,115Q2
2026-08-14,3163,,0.50,114,71.63,17.21,115Q2
2026-08-14,3169,,3.20,114,26.25,3.58,115Q2
2026-08-14,3171,,7.16,114,10.73,3.47,115Q2
2026-08-14,3176,,0.00,114,,3.18,115Q2
2026-08-14,3178,,0.00,114,184.69,2.20,115Q2
2026-08-14,3188,,13.71,114,3.30,1.31,115Q2
2026-08-14,3191,,0.00,114,23.48,3.31,115Q2
2026-08-14,3205,,0.00,114,,3.30,115Q2
2026-08-14,3206,,4.30,114,20.17,1.32,115Q2
2026-08-14,3207,,0.00,114,,1.66,115Q2
2026-08-14,3211,,2.93,114,52.70,6.74,115Q2
2026-08-14,3213,,5.15,114,14.18,2.04,115Q2
2026-08-14,3217,,7.22,114,10.97,2.57,115Q2
2026-08-14,3218,,5.78,114,9.92,2.93,115Q2
2026-08-14,3219,,1.91,114,21.42,3.36,115Q2
2026-08-14,3221,,0.58,114,46.98,2.31,115Q2
2026-08-14,3224,,0.00,114,,2.00,115Q2
2026-08-14,3226,,0.00,114,287.78,1.80,115Q2
2026-08-14,3227,,5.05,114,16.71,1.99,115Q2
2026-08-14,3228,,0.00,114,,15.75,115Q2
2026-08-14,3230,,0.00,114,,4.25,115Q2
2026-08-14,3232,,2.55,114,27.61,1.32,115Q2
2026-08-14,3234,,0.00,114,,21.88,115Q2
2026-08-14,3236,,1.09,114,63.47,2.68,115Q2
2026-08-14,3252,,0.00,114,,0.41,115Q2
2026-08-14,3259,,0.00,114,,3.00,115Q2
2026-08-14,3260,,4.23,114,5.20,3.31,115Q2
2026-08-14,3264,,1.86,114,29.44,5.45,115Q2
2026-08-14,3265,,2.37,114,24.26,3.73,115Q2
2026-08-14,3268,,0.00,114,,1.41,115Q2
2026-08-14,3272,,0.00,114,,0.94,115Q2
2026-08-14,3276,,0.41,114,65.91,1.16,115Q2
2026-08-14,3284,,2.18,114,9.46,1.60,115Q2
2026-08-14,3285,,1.36,114,20.03,2.52,115Q2
2026-08-14,3287,,4.00,114,4.71,2.03,115Q2
2026-08-14,3288,,0.00,114,,3.08,115Q2
2026-08-14,3289,,3.25,114,30.04,2.50,115Q2
2026-08-14,3290,,2.82,114,8.97,1.92,115Q2
2026-08-14,3293,,4.80,114,17.33,13.98,115Q2
2026-08-14,3294,,0.00,114,,1.77,115Q2
2026-08-14,3297,,0.00,114,31.00,1.66,115Q2
2026-08-14,3303,,5.75,114,10.42,2.06,115Q2
2026-08-14,3306,,3.82,114,101.25,0.56,115Q2
2026-08-14,3310,,5.09,114,26.46,2.86,115Q2
2026-08-14,3313,,0.00,114,,1.03,115Q2
2026-08-14,3317,,0.73,114,34.13,1.87,115Q2
2026-08-14,3322,,0.00,114,,0.99,115Q2
2026-08-14,3323,,0.00,114,,1.31,115Q2
2026-08-14,3324,,1.18,114,23.29,7.09,115Q2
2026-08-14,3325,,0.00,114,,1.29,115Q2
2026-08-14,3332,,3.13,114,16.20,1.63,115Q2
2026-08-14,3339,,0.00,114,,3.36,115Q2
2026-08-14,3349,,0.00,114,,3.46,115Q2
2026-08-14,3354,,0.00,114,,1.87,115Q2
2026-08-14,3357,,2.23,114,21.44,2.32,115Q2
2026-08-14,3360,,0.00,114,1630.00,1.51,115Q2
2026-08-14,3362,,0.00,114,,6.47,115Q2
2026-08-14,3363,,0.00,114,,11.65,115Q2
2026-08-14,3372,,0.00,114,,1.86,115Q2
2026-08-14,3373,,6.61,114,,1.01,115Q2
2026-08-14,3374,,0.77,114,51.02,8.95,115Q2
2026-08-14,3379,,4.05,114,29.07,1.86,115Q2
2026-08-14,3388,,3.98,114,15.45,1.32,115Q2
2026-08-14,3390,,0.90,114,,1.22,115Q2
2026-08-14,3402,,4.78,114,17.48,4.34,115Q2
2026-08-14,3430,,1.36,114,25.49,3.36,115Q2
2026-08-14,3434,,3.91,114,82.97,2.35,115Q2
2026-08-14,3438,,2.55,114,39.73,1.00,115Q2
2026-08-14,3441,,1.01,114,34.49,4.05,115Q2
2026-08-14,3444,,2.35,114,38.44,3.28,115Q2
2026-08-14,3455,,1.52,114,64.43,5.74,115Q2
2026-08-14,3465,,0.00,114,,1.33,115Q2
2026-08-14,3466,,0.00,114,,1.38,115Q2
2026-08-14,3467,,1.07,114,40.52,2.40,115Q2
2026-08-14,3479,,3.57,114,17.76,2.82,115Q2
2026-08-14,3483,,4.09,114,25.22,1.48,115Q2
2026-08-14,3484,,4.84,114,14.91,1.25,115Q2
2026-08-14,3485,,2.17,114,34.91,3.31,115Q2
2026-08-14,3489,,11.52,114,,2.52,115Q2
2026-08-14,3490,,1.26,114,6.27,1.38,115Q2
2026-08-14,3491,,0.49,114,109.30,20.83,115Q2
2026-08-14,3492,,5.18,114,16.47,1.17,115Q2
2026-08-14,3498,,0.00,114,35.99,3.83,115Q2
2026-08-14,3499,,0.00,114,,1.66,115Q2
2026-08-14,3508,,0.00,114,,3.77,115Q2
2026-08-14,3511,,0.00,114,,1.27,115Q2
2026-08-14,3512,,9.14,114,10.42,0.89,115Q2
2026-08-14,3516,,0.79,114,36.52,0.96,115Q2
2026-08-14,3520,,0.00,114,,1.58,115Q2
