date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2023-04-13,006201,0,0,0,0,0,5361500,83000,0,0,0,83000,26267,
2023-04-13,00679B,15000,0,0,0,15000,572423000,89824000,1485000,500000,0,90809000,6304684,
2023-04-13,00687B,0,0,0,0,0,87696750,1220000,0,0,0,1220000,1499948,
2023-04-13,00694B,0,0,0,0,0,27269000,170000,0,0,0,170000,114678,
2023-04-13,00695B,0,0,0,0,0,5671500,127000,0,0,0,127000,91151,
2023-04-13,00696B,0,0,0,0,0,158045250,1005000,0,0,0,1005000,572973,
2023-04-13,00697B,0,0,0,0,0,3303000,100000,0,0,0,100000,86927,
2023-04-13,00718B,0,0,0,0,0,155125250,120000,0,0,0,120000,27210,X
2023-04-13,00719B,0,0,0,0,0,52003500,1011000,0,0,0,1011000,94153,
2023-04-13,00720B,0,0,0,0,0,408152250,20858000,2378000,0,0,23236000,2919339,
2023-04-13,00721B,0,0,0,0,0,1155500,0,0,0,0,0,19320,
2023-04-13,00722B,0,0,0,0,0,247309750,141000,0,0,0,141000,136882,
2023-04-13,00723B,0,0,0,0,0,313520750,84000,0,0,0,84000,54816,
2023-04-13,00724B,0,0,0,0,0,631693750,405000,0,0,0,405000,175274,
2023-04-13,00725B,0,0,0,0,0,467426500,3693000,230000,0,0,3923000,1875069,
2023-04-13,00726B,0,0,0,0,0,281997250,120000,0,0,0,120000,89951,
2023-04-13,00727B,0,0,0,0,0,22172250,116000,0,0,0,116000,52676,
2023-04-13,00734B,0,0,0,0,0,7619750,80000,0,0,0,80000,316035,X
2023-04-13,00740B,0,0,0,0,0,224867750,290000,0,0,0,290000,409518,
2023-04-13,00741B,0,0,0,0,0,2157000,31000,0,0,0,31000,41951,
2023-04-13,00744B,0,0,0,0,0,6307000,0,0,0,0,0,32346,X
2023-04-13,00746B,0,0,0,0,0,463616000,82000,0,0,0,82000,43936,X
2023-04-13,00749B,0,0,0,0,0,235625000,0,0,0,0,0,37887,
2023-04-13,00750B,0,0,0,0,0,31375000,0,0,0,0,0,31179,X
2023-04-13,00751B,0,0,0,0,0,513900750,11537000,0,0,0,11537000,2531967,
2023-04-13,00754B,0,0,0,0,0,80225000,0,0,0,0,0,47871,X
2023-04-13,00755B,0,0,0,0,0,35182500,73000,0,0,0,73000,146962,
2023-04-13,00756B,0,0,0,0,0,276950000,153000,0,0,0,153000,50846,
2023-04-13,00758B,0,0,0,0,0,1381250,1000,0,0,0,1000,30688,X
2023-04-13,00759B,0,0,0,0,0,12131250,0,0,0,0,0,44607,X
2023-04-13,00760B,0,0,0,0,0,87130000,100000,0,0,0,100000,132484,
2023-04-13,00761B,0,0,0,0,0,533272250,242000,0,0,0,242000,253941,
2023-04-13,00764B,0,0,0,0,0,169750000,111000,0,0,0,111000,122750,
2023-04-13,00765B,0,0,0,0,0,375000,0,0,0,0,0,33134,X
2023-04-13,00768B,0,0,0,0,0,69400000,0,0,0,0,0,233797,X
2023-04-13,00772B,0,0,0,0,0,603072500,20036000,454000,0,0,20490000,3596430,
2023-04-13,00773B,0,0,0,0,0,537447500,6125000,150000,0,0,6275000,1490430,
2023-04-13,00777B,0,0,0,0,0,277037500,0,0,0,0,0,31729,X
2023-04-13,00778B,0,0,0,0,0,322037500,0,0,0,0,0,33030,X
2023-04-13,00779B,0,0,0,0,0,177412500,0,0,0,0,0,34959,
2023-04-13,00780B,0,0,0,0,0,62025500,100000,0,0,0,100000,248713,
2023-04-13,00781B,0,0,0,0,0,959000,0,0,0,0,0,35678,X
2023-04-13,00782B,0,0,0,0,0,1616750,0,0,0,0,0,64879,
2023-04-13,00784B,0,0,0,0,0,748250,0,0,0,0,0,30316,X
2023-04-13,00785B,0,0,0,0,0,188616500,0,0,0,0,0,42279,X
2023-04-13,00786B,0,0,0,0,0,2641500,91000,0,0,0,91000,84690,
2023-04-13,00787B,0,0,0,0,0,1951500,0,0,0,0,0,76620,X
2023-04-13,00788B,0,0,0,0,0,2301500,0,0,0,0,0,85906,
2023-04-13,00789B,0,0,0,0,0,17525000,0,0,0,0,0,122174,X
2023-04-13,00790B,0,0,0,0,0,525000,0,0,0,0,0,30000,X
2023-04-13,00791B,0,0,0,0,0,63525000,0,0,0,0,0,30212,X
2023-04-13,00792B,0,0,0,0,0,248403750,10000,0,0,0,10000,119623,X
2023-04-13,00793B,0,0,0,0,0,881500,0,0,0,0,0,39559,X
2023-04-13,00794B,0,0,0,0,0,8421750,0,0,0,0,0,32221,X
2023-04-13,00795B,0,0,0,0,0,86524500,1785000,0,0,0,1785000,651830,
2023-04-13,00799B,0,0,0,0,0,1009000,0,0,0,0,0,52006,
2023-04-13,00831B,0,0,0,0,0,3525000,0,0,0,0,0,840,X
2023-04-13,00834B,0,0,0,0,0,5174500,0,0,0,0,0,62089,X
2023-04-13,00836B,0,0,0,0,0,86010250,105000,0,0,0,105000,584571,X
