date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2024-12-12,0050,217000,5000,0,0,222000,554250000,21259000,0,5000,0,21254000,3428121,
2024-12-12,0051,0,0,0,0,0,6000000,381000,0,0,0,381000,30841,
2024-12-12,0052,1000,5000,0,0,6000,19625000,914000,0,0,0,914000,292938,
2024-12-12,0053,0,0,0,0,0,1372000,56000,0,0,0,56000,4802,X
2024-12-12,0055,0,0,0,0,0,18163500,324000,0,0,0,324000,91335,
2024-12-12,0056,39000,0,0,0,39000,2411633500,98155000,0,0,0,98155000,10057709,
2024-12-12,0057,0,0,0,0,0,381750,0,0,0,0,0,5565,X
2024-12-12,0061,3000,0,0,1000,2000,38904000,1273000,0,0,0,1273000,339620,
2024-12-12,006203,0,0,0,0,0,2554500,8000,0,0,0,8000,1962,
2024-12-12,006204,0,0,0,0,0,375000,0,0,0,0,0,2800,
2024-12-12,006205,0,0,0,0,0,37359750,1785000,0,0,0,1785000,354207,
2024-12-12,006206,1000,0,0,0,1000,11444500,1011000,0,0,0,1011000,82118,
2024-12-12,006207,0,0,0,0,0,8848000,1119000,35000,0,0,1154000,96255,
2024-12-12,006208,12000,1000,1000,0,12000,403260000,45707000,1000000,200000,0,46507000,3875963,
2024-12-12,00631L,2705000,85000,74000,0,2716000,34896000,7277000,0,45000,0,7232000,1877414,
2024-12-12,00632R,449000,1989000,12000,0,2426000,292176932,0,5307000,0,0,5307000,39299176,
2024-12-12,00633L,909000,53000,13000,2000,947000,71864500,14411000,0,81000,0,14330000,3604789,
2024-12-12,00634R,16000,0,0,0,16000,12564000,43000,0,0,0,43000,151447,
2024-12-12,00635U,54000,0,0,0,54000,11378500,1094000,0,0,0,1094000,329745,
2024-12-12,00636,14000,0,0,0,14000,51581250,3494000,0,0,0,3494000,938217,
2024-12-12,00637L,13462000,1120000,164000,0,14418000,524401500,75913000,0,0,0,75913000,35483519,
2024-12-12,00638R,37000,0,0,0,37000,9487000,849000,0,0,0,849000,630758,
2024-12-12,00639,186000,1000,0,0,187000,57600750,4370000,65000,0,0,4435000,1181820,
2024-12-12,00640L,205000,7000,11000,0,201000,4729750,747000,0,0,0,747000,140376,
2024-12-12,00641R,284000,0,0,0,284000,12689500,558000,0,0,0,558000,246067,
2024-12-12,00642U,88000,36000,0,0,124000,41080250,2764000,0,0,0,2764000,1324550,
2024-12-12,00643,450000,0,0,0,450000,28893250,3687000,0,0,0,3687000,2962084,
2024-12-12,00645,1000,0,0,0,1000,20499250,1282000,0,0,0,1282000,306425,
2024-12-12,00646,3000,0,0,0,3000,124246250,9693000,0,0,0,9693000,1134447,
2024-12-12,00647L,21000,1000,4000,0,18000,2104000,234000,0,0,0,234000,79007,
2024-12-12,00648R,105000,13000,0,0,118000,38172000,2780000,0,0,0,2780000,334557,
2024-12-12,00650L,2183000,90000,47000,0,2226000,94334500,31758000,0,324000,0,31434000,6299800,
2024-12-12,00651R,14000,0,0,0,14000,7548000,74000,0,0,0,74000,205663,
2024-12-12,00652,8000,0,0,0,8000,23883750,1761000,0,0,0,1761000,113908,
2024-12-12,00653L,23000,0,5000,0,18000,4850750,405000,0,0,0,405000,115309,
2024-12-12,00654R,131000,0,0,0,131000,5616500,49000,0,0,0,49000,98671,
2024-12-12,00655L,490000,33000,4000,0,519000,39364500,8307000,0,0,0,8307000,2207967,
2024-12-12,00656R,1000,0,0,0,1000,7214250,9000,0,0,0,9000,159764,
2024-12-12,00657,0,0,0,0,0,2896000,253000,0,0,0,253000,33793,
2024-12-12,00660,0,0,0,0,0,1757750,1000,0,0,0,1000,2937,X
2024-12-12,00661,0,0,0,0,0,12106250,717000,0,0,0,717000,57552,
2024-12-12,00662,5000,1000,0,0,6000,123632250,12188000,1260000,639000,0,12809000,1377244,
2024-12-12,00663L,0,0,0,0,0,327250,13000,0,0,0,13000,35247,
2024-12-12,00664R,4059000,10000,209000,0,3860000,159143750,17420000,0,0,0,17420000,5062207,
2024-12-12,00665L,4583000,1802000,47000,0,6338000,225991250,69128000,333000,0,0,69461000,18894520,
2024-12-12,00666R,0,0,0,0,0,2281000,8000,0,0,0,8000,61505,
2024-12-12,00668,0,0,0,0,0,2883250,116000,0,0,0,116000,85794,
2024-12-12,00669R,41000,12000,0,0,53000,56529250,5330000,200000,0,0,5530000,766032,
2024-12-12,00670L,1247000,6000,20000,0,1233000,13036250,1212000,11000,0,0,1223000,313092,
